axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,3.675626157735521,0.00578800935703338,6.273522726506187
axis1,DeepSWE,Autonomous SWE,3.1502519025367803,0.5014318511772223,4.966350434891645
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,3.1345381427328007,0.44525547093372003,4.655632580087251
axis1,FrontierMath Tier 4,High End Math Reasoning,2.8491721695691394,0.2885717814085588,4.737878034986692
axis1,MATH Level 5,High End Math Reasoning,2.4907750276634593,0.39795270803226307,3.669292639597251
axis1,FrontierMath v1,High End Math Reasoning,2.489464588025319,0.7046602853098384,3.7268064448914484
axis1,ARC-AGI,Core AGI Progress,2.4385362053817405,0.14633767143565896,4.51040702826396
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,2.204939644154993,0.21492676436676894,3.416027460734536
axis1,CritPt,Domain Specific Questions,1.9621351348228941,0.5641385993872421,3.055930075786103
axis1,VPCT,Multimodal Understanding,1.9508853304231972,-1.259040998208869,6.273561019382787
axis1,FrontierMath,High End Math Reasoning,1.9504190865170727,0.23882799158777004,3.6023120830768587
axis1,GPQA Main Chemistry,Chemistry,1.947143086640565,0.043612842997227765,3.061989859550355
axis1,GPQA Diamond Chemistry,Chemistry,1.716012120651,-0.026826787446426772,2.8840410761661697
axis1,OpenAI NYU CTF Professional (Original),Agentic Computer Use,1.7013118361693467,-0.5870523420872116,3.9998745819927777
axis1,MMLU Pro Chemistry,Chemistry,1.61469900805806,0.1833027194377786,3.0066241624607692
axis1,GPQA Diamond,Domain Specific Questions,1.4480385278418615,0.3716417474554195,2.3121639231068403
axis1,Cybench,Agentic Computer Use,1.3978244887960383,-0.3128667908196126,3.00996673220989
axis1,ProofBench,High End Math Reasoning,1.3922267591008588,-0.45025000459824177,2.732597945172571
axis1,GPQA Main Biology,Biology,1.2247369021244987,-0.20540391696264554,2.278733996803501
axis1,AISI CTF Suites - Expert,Agentic Computer Use,1.2147898582148677,-0.7256515620205805,3.419711152201309
axis1,MMLU Pro Biology,Biology,1.1915994086611073,-0.2834946449393333,2.8676641827753486
axis1,APEX Agents,Core AGI Progress,1.1819412272147272,0.04269763608571659,2.302142548293214
axis1,AISI CTF Suites - Apprentice,Agentic Computer Use,1.1745776827445706,-0.29841715145505726,2.426279521766659
axis1,Chess Puzzles,General Reasoning,1.1741172424847457,-0.10293490113412829,2.8057653985007778
axis1,CursorBench,Autonomous SWE,1.1636986627062658,0.21675543309364184,2.0038733464681866
axis1,Aider Polyglot,Autonomous SWE,1.1424897563824814,-0.07805181208250146,2.319370091710398
axis1,TerminalBench,Agentic Computer Use,1.1162414574491588,0.14029507104862612,1.9982965758276772
axis1,Humanity's Last Exam,Domain Specific Questions,1.104584266364571,0.15539399748428323,1.8897474843456097
axis1,BioLP-bench,Biology,1.0508076543974076,-0.43728145820636277,2.168028260026009
axis1,VisualToolBench,Multimodal Understanding,1.0499745365791486,-0.026246718826294424,2.0646335477515354
axis1,The Agent Company,Agentic Computer Use,0.98121798508355,-0.7061619875450718,2.893986871903027
axis1,SCONE-Bench,Agentic Computer Use,0.9679959576494642,-0.8427176609033459,3.0006658503191335
axis1,SWE-Bench Verified,Autonomous SWE,0.9575072196464336,-0.6163319688981982,2.8481598675194597
axis1,SWE-Bench Pro (Private),Autonomous SWE,0.9288877580007329,-0.28535503808922313,2.1495245657019253
axis1,Surface Evolver Bench,Autonomous SWE,0.9273981412072061,-0.5921172556216318,2.6496636401428018
axis1,OpenAI Cyber Ranges,Agentic Computer Use,0.9144324374385584,-1.0157372056106815,3.3842671499099946
axis1,FrontierCode,Autonomous SWE,0.9095545248994519,-0.25064267472417767,1.9870930753242046
axis1,BlueprintBench 2,Multimodal Understanding,0.8741939187092057,-0.7207998159293998,2.6461823094907437
axis1,ExploitGym,Agentic Computer Use,0.8696694284685446,-1.2828356873768296,3.6510049685830537
axis1,WMDP Chemistry,Chemistry,0.8679634374492132,-0.1252168700969823,2.6189306731653423
axis1,LAB-Bench SeqQA,Biology,0.8599247224463229,0.14537011243139358,1.4142409719923958
axis1,GPQA Diamond Biology,Biology,0.8550054655924078,-0.2763335164192774,1.8084839614865058
axis1,WMDP Biology,Biology,0.8417530227602725,-0.3156439146383355,3.07709463950758
axis1,LAB-Bench Cloning,Biology,0.8332743725438625,-0.7205570569366743,2.2768539143086874
axis1,MCP Atlas,Agentic Computer Use,0.8063077566134013,-0.5749260059969068,3.4168808492821285
axis1,WeirdML,Autonomous SWE,0.8056517493715367,0.3158411830022177,1.188066602371142
axis1,SciCode,Autonomous SWE,0.7971283456964386,0.21380989177243875,1.3122830453967962
axis1,OS World (Screenshot),Agentic Computer Use,0.756996910165572,-0.7996090753506379,3.1592523124427743
axis1,Remote Labor Index,Core AGI Progress,0.7323429074929777,-0.4876687012262712,2.4543450554077704
axis1,GSO-Bench,Autonomous SWE,0.7301025568833472,-0.5443496131464791,2.21040464871369
axis1,GDP.pdf,Core AGI Progress,0.7261304210416147,-0.2956563381232978,1.8203533136583514
axis1,MMLU Chemistry,Chemistry,0.7178012946188354,-0.027448184973373577,1.2746685698832627
axis1,Visual Task Assessment (VISTA),Multimodal Understanding,0.7011887318490915,-0.46326027021169564,2.075689441631207
axis1,LiveBench,Core AGI Progress,0.682404646489053,-0.14008385656390535,1.3333181693418978
axis1,AISI Cyber Ranges - The Last Ones,Agentic Computer Use,0.6587358531255312,-1.3102730607345612,3.374287863727779
axis1,EnigmaEval,General Reasoning,0.6260845955833317,-0.24032198854411455,1.6587186775886533
axis1,Vending-Bench 2,Agentic Computer Use,0.5799497714371216,-0.24591615150673177,1.380097662151627
axis1,GDPval,Core AGI Progress,0.5723395678974259,-0.5237944835931247,1.9304035474612733
axis1,CL-Bench Life,Domain Specific Questions,0.5258026415917875,-0.26441895335194593,1.494170239988468
axis1,EBR-bench,Agentic Computer Use,0.5250954983376516,-0.8999963304586683,2.2754536415357287
axis1,CL-Bench,Domain Specific Questions,0.5230066931868322,-0.02382656576018466,1.1621193516781783
axis1,SEAL Tool Use (Enterprise),Agentic Computer Use,0.516363849116311,-0.4861893613272449,1.9727463695895342
axis1,SEAL Instruction Following,Advanced Language and Writing,0.512407812814528,-0.33625790272135464,1.9280117731263753
axis1,PostTrainBench,Autonomous SWE,0.46154644464483924,-0.3339771317397088,1.4094177695143544
axis1,MindCube,Multimodal Understanding,0.46104127244599286,-0.7574973723412529,2.4223495919206672
axis1,CyberGym,Agentic Computer Use,0.4391906680736072,-1.0184623193657185,2.667255323628666
axis1,LAB-Bench Protocol,Biology,0.4254926851641575,-0.4403644640814443,1.2399701447320546
axis1,CAD-Eval,Multimodal Understanding,0.41645506643264607,-0.9235248920970227,2.5401116965635504
axis1,METR Time Horizons,Autonomous SWE,0.41045058403192847,-0.1850929422995157,1.1406887960001892
axis1,Fiction.LiveBench,Advanced Language and Writing,0.3980069500203946,-0.8701610606988953,2.2979769543120114
axis1,MMLU Biology,Biology,0.354470920845699,-0.1385957923290708,0.8372398863656428
axis1,LAB-Bench LitQA2,Biology,0.3395092132405835,-0.23783598470899936,0.8763532533003748
axis1,AudioMultiChallenge,Multimodal Understanding,0.2911110585936154,-0.4986074509122364,1.294562413428088
axis1,OS World 2,Agentic Computer Use,0.2882653699629103,-0.8780691921238368,2.0707602368289817
axis1,SpatialViz-Bench,Multimodal Understanding,0.2795736326803363,-0.6140081714433511,1.7594480194936983
axis1,AlgoTune,Autonomous SWE,0.25586093363343043,-0.38436334994618737,1.4684445419285497
axis1,ExploitBench,Agentic Computer Use,0.22946185017432658,-1.0949252093487025,2.028677869805286
axis1,MultiNRC,Advanced Language and Writing,0.21468310629443552,-0.36946735026490224,1.1739216836301107
axis1,TutorBench,Advanced Language and Writing,0.17646585332416695,-0.18149363457313397,0.7201229719552453
axis1,SWE-Bench Pro,Autonomous SWE,0.15348744395197292,-0.7610167138130544,1.4402310540566752
axis1,Video-MME,Multimodal Understanding,0.10610582828806095,-0.48162978622629354,1.2887577423818435
axis1,MultiChallenge,Advanced Language and Writing,0.0989818207844216,-0.5060079274381932,1.0170503732052574
axis1,ForecastBench,General Reasoning,0.09776367742258792,-0.16954424002650584,0.42377329153476273
axis1,CTI-REALM,Agentic Computer Use,0.06009999912701264,-0.5677143019521784,1.0453164213752972
axis1,DeepResearchBench,Agentic Computer Use,0.03754790091294177,-0.4385605054084953,0.6820438679102527
axis1,LAMBADA,General Reasoning,0.036356570652983526,-0.69694304044995,0.9555312320466622
axis1,PRBench Finance,Domain Specific Questions,0.03210133564866774,-0.3385039718777738,0.6172167606956538
axis1,PRBench Legal,Domain Specific Questions,0.006353700542229619,-0.3308942099200251,0.5488991722346743
axis1,GBAEval,Agentic Computer Use,-0.009892893080069104,-1.9092133357258683,4.357302172415518
axis1,SuperGLUE,General Reasoning,-0.023838065784548834,-1.036436107961162,1.6372666581216828
axis1,TriviaQA,Domain Specific Questions,-0.049805284790110954,-1.042726677203448,1.3051607006439727
axis1,Lech Mazur Writing,Advanced Language and Writing,-0.05922236099195292,-0.9758434510720637,1.2500892965368253
axis1,GSM8K,Domain Specific Questions,-0.13544491824974425,-2.1768919179383537,3.209001054845798
axis1,PIQA,General Reasoning,-0.14016989503833882,-0.41955527694672073,0.43538215676921727
axis1,WinoGrande,General Reasoning,-0.1420273756058104,-0.6644530974138126,0.8834098250633271
axis1,MMLU,Domain Specific Questions,-0.17410431889481218,-1.400441684709246,2.0060885851378134
axis1,BoolQ,General Reasoning,-0.17863132748930508,-1.2387421435566086,1.4513702819527416
axis1,GeoBench,Multimodal Understanding,-0.19521037711556338,-0.8935024408891968,1.0582359112430286
axis1,BALROG,General Reasoning,-0.21518216248773564,-0.7613726716212997,0.7977172703654318
axis1,BIG-Bench Hard (BBH),Domain Specific Questions,-0.236242289874375,-1.217767018723699,2.2274364940521063
axis1,SimpleBench,General Reasoning,-0.24604496319736507,-1.3741303513143486,2.281201910335348
axis1,ScienceQA,Domain Specific Questions,-0.26665996694217764,-1.0886086793421312,1.4512417094874221
axis1,CSQA2,General Reasoning,-0.2910286255737255,-1.6139734556611012,2.2859298129606644
axis1,SimpleQA Verified,Domain Specific Questions,-0.3154596728001088,-1.3618414197067885,2.0441474072161565
axis1,HellaSwag,General Reasoning,-0.4592843251374116,-0.9872415559147917,0.9303003979863782
axis1,Adversarial NLI,General Reasoning,-0.8324441570927787,-1.6602031217603717,1.6162786993777034
