axis,benchmark,category,loading_median,hdi_low,hdi_high,bench_norm,axis_share
axis1,VPCT,Multimodal Understanding,3.776368260404669,3.0304493511460073,4.631474480754655,3.8133638844933198,0.9806909766026081
axis1,ARC-AGI-2,Core AGI Progress,3.0635881809380683,2.746933599027985,3.8453691090000426,3.58599828707409,0.7298617686872286
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,2.4359857245903087,2.0840232003380637,2.6326548060919217,2.4411778056948727,0.9957507727314344
axis1,FrontierMath Tier 4,High End Math Reasoning,2.425127231788181,1.7630882441548463,2.922938979297417,2.7061358117388212,0.8031004690457787
axis1,ARC-AGI,Core AGI Progress,2.231435055194956,1.9944873772712635,2.732951108476681,2.5987418334901533,0.737296594114522
axis1,MATH Level 5,High End Math Reasoning,2.043999412222255,1.8398705358989083,2.2239260227098905,2.057488338559865,0.9869309494711401
axis1,Aider Polyglot,Autonomous SWE,1.8602648336147947,1.5905751702020468,2.155466912497213,2.3540400854035926,0.6244847606809281
axis1,Fiction.LiveBench,Advanced Language and Writing,1.7696822798941985,1.0791853209519566,2.4130491474727536,1.9203918783286151,0.849201755562233
axis1,GPQA Diamond Chemistry,Chemistry,1.7137111851696154,1.338141551453642,2.135768358819143,1.7583560737224941,0.9498643995275334
axis1,CritPt,Domain Specific Questions,1.6804032107637146,1.4479900740822997,1.8885975896954779,1.8396826374435515,0.8343363904032169
axis1,FrontierMath,High End Math Reasoning,1.6427947375831327,1.100593068782824,1.9569680232460875,1.7804101473847378,0.8513859604054781
axis1,GPQA Main Chemistry,Chemistry,1.6110749168834695,1.3470040902956883,1.9042620244399642,1.6435328718717228,0.9608922325842546
axis1,Cybench,Agentic Computer Use,1.587701999466712,1.1737966126969404,2.013028837771901,2.190657358452577,0.5252778333270178
axis1,DeepSWE,Autonomous SWE,1.5516007196978348,1.0838957539277676,1.9407322830450966,1.7888561078924874,0.7523312962229648
axis1,VisualToolBench,Multimodal Understanding,1.4307080594515447,1.1624658649803823,1.7194865279512794,1.5923145357359592,0.8073174279895161
axis1,TerminalBench,Agentic Computer Use,1.4270767056736164,1.159810315959184,1.7454846360576672,1.7754788407238031,0.6460462833999548
axis1,GSO-Bench,Autonomous SWE,1.3726544662291742,1.0963035678876598,1.6762080038788767,2.1106668134422604,0.4229442174630157
axis1,ProofBench,High End Math Reasoning,1.370861555519392,1.0037255007326968,1.762937820460187,1.9806359325947982,0.4790467377275829
axis1,BioLP-bench,Biology,1.3684919764396049,1.081948196629138,1.6786797128475244,1.4192352864530584,0.9297703871316101
axis1,Surface Evolver Bench,Autonomous SWE,1.3674220023603156,0.9622559151213761,1.7847317069002022,1.6334950542531077,0.7007602830711283
axis1,EnigmaEval,General Reasoning,1.3514126435358258,1.148689902248127,1.5800538143990253,1.4865553343862854,0.8264446948785973
axis1,Humanity's Last Exam,Domain Specific Questions,1.3457536380607897,1.1865145898892762,1.5073298764651322,1.4226892795435757,0.8947691606262339
axis1,CSQA2,General Reasoning,1.3184118303221815,0.6462440313919265,2.101777355010786,1.8121445449351936,0.5293178144831039
axis1,The Agent Company,Agentic Computer Use,1.2872454790217,0.6310582990931297,1.883603158140032,1.9975104155130503,0.41528347061663773
axis1,GPQA Diamond,Domain Specific Questions,1.2807154109428418,1.1901981385574756,1.3742026220443868,1.302669112675648,0.9665782965497114
axis1,CAD-Eval,Multimodal Understanding,1.2511278884858252,0.8102272337175873,1.6668443444575374,1.7020140541434912,0.5403524513962588
axis1,SimpleBench,General Reasoning,1.1841557503411453,1.0089744154062599,1.3846525207073743,1.3711849791614867,0.7458054668003864
axis1,MMLU Pro Chemistry,Chemistry,1.1827876524484127,1.0246925285879562,1.3497563011573304,1.2675763217772396,0.8706935519148902
