benchmark,model_version,organization,release_date,score,feed
ARC AI2,gpt-neox-20b,EleutherAI,2022-04-07,0.411,epoch
ARC AI2,opt-1.3b,Meta AI,2022-05-11,0.232,epoch
ARC AI2,stablelm-tuned-alpha-7b,Stability AI,2023-04-19,0.27,epoch
Aider Polyglot,openhands-lm-32b-v0.1,All Hands AI,2024-03-26,0.102,epoch
Aider Polyglot,DeepSeek-V2.5,DeepSeek,2024-09-06,0.178,epoch
Aider Polyglot,yi-lightning,01.AI,2024-12-02,0.129,epoch
Aider Polyglot,gemini-exp-1206,Google DeepMind,2024-12-06,0.382,epoch
Aider Polyglot,chatgpt-4o-03-27-2025,OpenAI,2025-03-27,0.4529999999999999,epoch
Aider Polyglot,kimi-k2-0905,Moonshot,2025-09-05,0.591,epoch
AudioMultiChallenge,gpt-4o-mini-audio-preview-2024-12-17,OpenAI,2024-12-17,0.1482,seal
AudioMultiChallenge,Phi-4-multimodal-instruct,Microsoft,2025-02-26,0.1549,seal
AudioMultiChallenge,Qwen2.5-Omni-7B,Alibaba,2025-03-27,0.1195,seal
AudioMultiChallenge,Kimi-Audio-7B-Instruct,Moonshot,2025-04-25,0.1372,seal
AudioMultiChallenge,gpt-4o-audio-preview-2025-06-03,OpenAI,2025-06-03,0.2544,seal
AudioMultiChallenge,gemma-3n-E4B-it,Google DeepMind,2025-06-26,0.1549,seal
AudioMultiChallenge,Voxtral-Small-24B-2507,Mistral AI,2025-07-15,0.2633,seal
AudioMultiChallenge,gpt-realtime-2025-08-28,OpenAI,2025-08-28,0.2345,seal
AudioMultiChallenge,MiMo-Audio-7B-Instruct,Xiaomi Corp,2025-09-19,0.1858,seal
AudioMultiChallenge,MiMo-Audio-7B-Instruct_thinking,Xiaomi Corp,2025-09-19,0.1969,seal
AudioMultiChallenge,Qwen3-Omni-30B-A3B-Instruct,Alibaba,2025-09-22,0.2434,seal
AudioMultiChallenge,LFM2-Audio-1.5B,Liquid AI,2025-09-30,0.0929,seal
AudioMultiChallenge,gemini-2.5-flash-native-audio-preview-12-2025_none,Google DeepMind,2025-12-12,0.139,seal
AudioMultiChallenge,gemini-2.5-flash-native-audio-preview-12-2025_thinking,Google DeepMind,2025-12-12,0.2146,seal
AudioMultiChallenge,gpt-realtime-mini-2025-12-15,OpenAI,2025-12-15,0.1659,seal
AudioMultiChallenge,gpt-realtime-1.5,OpenAI,2026-02-23,0.3472999999999999,seal
AudioMultiChallenge,gemini-3.1-flash-live-preview,Google DeepMind,2026-03-26,0.3606,seal
AudioMultiChallenge,gpt-realtime-2,OpenAI,2026-05-07,0.3761,seal
AudioMultiChallenge,gpt-realtime-2_xhigh,OpenAI,2026-05-07,0.4845,seal
AudioMultiChallenge,tml-interaction-small,Thinking Machines,,0.4336,seal
Balrog,Qwen2-VL-7B-Instruct,Alibaba,2024-08-29,0.037,epoch
Balrog,Llama-3.2-3B-Instruct,Meta AI,2024-09-24,0.1009999999999999,epoch
Balrog,reka-flash-3,Reka AI,2025-03-10,0.292,epoch
BlueprintBench 2,gemini-robotics-er-1.6-preview,Google DeepMind,2026-04-14,0.0,epoch
CadEval,ml-elephant,Zoo,,0.2,epoch
Chess Puzzles,llama-2-7b-chat,Meta AI,2023-07-18,0.0,epoch_live
Chess Puzzles,qwen3.5-2b_none,Alibaba,2026-02-24,0.0,epoch_live
CritPt,Phi-4-mini-instruct,Microsoft,2025-02-27,0.0,epoch
CritPt,magistral-medium-2509,Mistral AI,2025-09-18,0.0028571428571428,epoch
CritPt,cogito-671b-v2.1,Deep Cogito,2025-11-19,0.0,epoch
CritPt,devstral-small-2512,Mistral AI,2025-12-09,0.0,epoch
CritPt,mimo-v2-flash,Xiaomi Corp,2025-12-16,0.0,epoch
CritPt,solar-pro-3,Upstage,2026-01-27,0.0,epoch
CritPt,gemini-3-deep-think-preview,Google DeepMind,2026-02-12,0.257142857142857,epoch
CritPt,granite-4.1-30b,IBM,2026-04-29,0.0,epoch
CritPt,Ring-2.6-1T,Ant Group,2026-05-14,0.0371428571428571,epoch
CritPt,command-a-plus-05-2026,"Cohere,Cohere Labs (formerly Cohere for AI)",2026-05-20,0.0028571428571428,epoch
CritPt,step-3.7-flash,StepFun,2026-05-29,0.0228571428571429,epoch
DTBench,mistral-medium-2312,Mistral AI,2023-12-11,0.533,epoch
DTBench,mistral-small-2409,Mistral AI,2024-09-17,0.4953,epoch
EnigmaEval,gemini-2.0-flash-02-05,Google DeepMind,2025-02-05,0.0063,epoch
Fiction.LiveBench,MiniMax-M1-80k,MiniMax,2025-06-13,0.594,epoch
Fiction.LiveBench,Qwen3-Next-80B-A3B-Instruct,Alibaba,2025-09-11,0.625,epoch
FrontierCode,swe-1.6,Cognition,2026-04-07,0.0939,epoch
