variant,canonical,note
Amazon Nova 1.0 Lite,amazon.nova-lite-v1:0,RAND name; exact Epoch match
Amazon Nova 1.0 Micro,amazon.nova-micro-v1:0,RAND name; exact Epoch match
Amazon Nova 1.0 Pro,amazon.nova-pro-v1:0,RAND name; exact Epoch match
Claude 3.0 Haiku,claude-3-haiku-20240307,RAND name; sole Claude-3 Haiku release
Claude 3.0 Opus,claude-3-opus-20240229,RAND name; sole Claude-3 Opus release
Claude 3.0 Sonnet,claude-3-sonnet-20240229,RAND name; sole Claude-3 Sonnet release
Claude 3.5 Sonnet,claude-3-5-sonnet-20240620,RAND 'V1' = first 3.5 Sonnet release
Claude 3.5 Sonnet V2,claude-3-5-sonnet-20241022,RAND 'V2' = Oct 2024 refresh
Claude 3.7 Sonnet V1,claude-3-7-sonnet-20250219,RAND name; base (no reasoning budget)
Claude 3.7 Sonnet V1 - Reasoning 16000,claude-3-7-sonnet-20250219_16K,16K reasoning budget
DeepSeek R1,DeepSeek-R1,RAND name; base R1 release
DeepSeek V3,DeepSeek-V3,RAND name; base V3 release
GPT 4,gpt-4-0613,RAND 'GPT 4' = original Jun-2023 release
GPT 4 Turbo,gpt-4-turbo-2024-04-09,RAND name; sole dated Turbo release
GPT 4.5 Preview,gpt-4.5-preview-2025-02-27,RAND name; exact match
GPT 4o,gpt-4o-2024-08-06,RAND name; mid release (most-cited)
Gemini 1.0 Pro,gemini-1.0-pro-001,RAND name; exact
Gemini 1.5,gemini-1.5-pro-001,RAND generic '1.5' -> 1.5 Pro first release
Gemini 1.5 Pro,gemini-1.5-pro-001,RAND name; first 1.5 Pro release
Grok 2.0 Beta,grok-2-1212,RAND name; sole Grok-2 in Epoch
Llama 3 70b,Meta-Llama-3-70B-Instruct,QA-bench eval -> Instruct variant
Llama 3 8b,Meta-Llama-3-8B-Instruct,QA-bench eval -> Instruct
Llama 3.1 405b,Llama-3.1-405B-Instruct,QA-bench eval -> Instruct
Llama 3.1 405b (Bio Llama),,DROP — RAND-specific bio fine-tune; confounds capability with task-specific post-training
Llama 3.1 405b (Hermes 3),,DROP — NousResearch chat fine-tune; capability axis ill-defined relative to base Instruct
Llama 3.1 70b,Llama-3.1-70B-Instruct,QA-bench eval -> Instruct
Llama 3.1 8b,Llama-3.1-8B-Instruct,QA-bench eval -> Instruct
Llama 4 Maverick,Llama-4-Maverick-17B-128E-Instruct,RAND name; exact match
Llama 4 Scout,Llama-4-Scout-17B-16E-Instruct,RAND name; exact match
Mistral 7b Instruct,Mistral-7B-Instruct-v0.2,default = v0.2 (most-cited at RAND eval time)
Mistral Large 2402,mistral-large-2402,RAND name; exact
Mistral Large 2407,mistral-large-2407,RAND name; exact
Mixtral 8x7b,Mixtral-8x7B-Instruct-v0.1,Instruct variant
Unsafety Llama,,"DROP — uncensored fine-tune; bio/chem scores reflect willingness to answer, not capability"
gemini-1.5-flash,gemini-1.5-flash-001,first 1.5 Flash release
o1,o1-2024-12-17_medium,RAND generic 'o1' -> default reasoning effort = medium
o1 Preview,o1-preview-2024-09-12,RAND name; exact
o3,o3-2025-04-16_medium,RAND generic 'o3' -> default reasoning effort = medium
o3 Mini,o3-mini-2025-01-31_medium,RAND generic -> default reasoning effort = medium
o4 Mini,o4-mini-2025-04-16_medium,RAND generic -> default reasoning effort = medium
Claude Fable 5,claude-fable-5,"Scale SEAL alias (auto, high-confidence)"
Fable-5,claude-fable-5,"Scale SEAL alias (hyphenated form, Remote Labor Index)"
Deepseek-R1,DeepSeek-R1,"Scale SEAL alias (auto, high-confidence)"
Deepseek-R1-0528,DeepSeek-R1-0528,"Scale SEAL alias (auto, high-confidence)"
GPT 5.2 Codex,gpt-5.2-codex,"Scale SEAL alias (auto, high-confidence)"
Codex GPT 5.5,gpt-5.5-codex,"Scale SEAL alias (Codex harness = own test-taker, Remote Labor Index)"
GPT-4 Turbo Preview,gpt-4-turbo,"Scale SEAL alias (auto, high-confidence)"
Gemini 1.5 Flash 002,gemini-1.5-flash-002,"Scale SEAL alias (auto, high-confidence)"
Gemini-2.5-Pro-Preview-06-05,gemini-2.5-pro-preview-06-05,"Scale SEAL alias (auto, high-confidence)"
Llama 3.1 70B Instruct,Llama-3.1-70B-Instruct,"Scale SEAL alias (auto, high-confidence)"
Llama 3.1 8B Instruct,Llama-3.1-8B-Instruct,"Scale SEAL alias (auto, high-confidence)"
Llama 3.1 405B Instruct,Llama-3.1-405B-Instruct,"Scale SEAL alias (auto, high-confidence)"
llama3-1-405b-instruct,Llama-3.1-405B-Instruct,"Scale SEAL alias (auto, high-confidence)"
Llama 3.2 11B Vision-Instruct,Llama-3.2-11B-Vision-Instruct,"Scale SEAL alias (auto, high-confidence)"
Llama 3.2 90B Vision Instruct,Llama-3.2-90B-Vision-Instruct,"Scale SEAL alias (auto, high-confidence)"
Llama-4-Maverick,Llama-4-Maverick-17B-128E-Instruct,"Scale SEAL alias (auto, high-confidence)"
llama4-maverick,Llama-4-Maverick-17B-128E-Instruct,"Scale SEAL alias (auto, high-confidence)"
llama4-maverick-17b-instruct,Llama-4-Maverick-17B-128E-Instruct,"Scale SEAL alias (auto, high-confidence)"
Muse Spark,muse-spark,"Scale SEAL alias (auto, high-confidence)"
Muse Spark*,muse-spark,"Scale SEAL alias (auto, high-confidence)"
Phi 3.5 Vision-Instruct,Phi-3.5-vision-instruct,"Scale SEAL alias (auto, high-confidence)"
qwen3-coder-480b-a35b,Qwen3-Coder-480B-A35B-Instruct,"Scale SEAL alias (auto, high-confidence)"
gemini-3-flash,gemini-3-flash-preview,"Scale SEAL alias (auto, high-confidence)"
gemini-3.1-flash-lite-preview,gemini-3.1-flash-lite,"Scale SEAL alias (auto, high-confidence)"
glm-4p5,glm-4.5,"Scale SEAL alias (auto, high-confidence)"
glm-4p5-air,GLM-4.5-Air,"Scale SEAL alias (auto, high-confidence)"
glm-4p7,glm-4.7,"Scale SEAL alias (auto, high-confidence)"
glm-5p1,glm-5.1,"Scale SEAL alias (auto, high-confidence)"
glm-5p2,glm-5.2_unknown,Scale SEAL alias (effort-less -> _unknown bucket; no bare glm-5.2 exists)
kimi-k2p5,kimi-k2.5,"Scale SEAL alias (auto, high-confidence)"
fireworks/kimi-k2p5,kimi-k2.5,"defrag: serving-provider prefix + p-spelling; map is single-pass so this points at the final id, not at kimi-k2p5"
kimi-k2-instruct,Kimi-K2-Instruct,"Scale SEAL alias (auto, high-confidence)"
minimax-2.1,MiniMax-M2.1,"Scale SEAL alias (auto, high-confidence)"
Command R+,c4ai-command-r-plus-08-2024,"Scale SEAL alias (auto, high-confidence)"
Nova Lite,amazon.nova-lite-v1:0,"Scale SEAL alias (auto, high-confidence)"
Nova LIte,amazon.nova-lite-v1:0,"Scale SEAL alias (auto, high-confidence)"
Nova Pro,amazon.nova-pro-v1:0,"Scale SEAL alias (auto, high-confidence)"
Nova Mirco,amazon.nova-micro-v1:0,"Scale SEAL alias (auto, high-confidence)"
Claude 3 Opus,claude-3-opus-20240229,"Scale SEAL alias (auto, high-confidence)"
Claude 3.5 Sonnet (June 2024),claude-3-5-sonnet-20240620,"Scale SEAL alias (auto, high-confidence)"
Claude 3.5 Sonnet (October 2024),claude-3-5-sonnet-20241022,"Scale SEAL alias (auto, high-confidence)"
Claude 3.7 Sonnet (February 2025),claude-3-7-sonnet-20250219,"Scale SEAL alias (auto, high-confidence)"
Claude-4-Opus-20250514,claude-opus-4-20250514,"Scale SEAL alias (auto, high-confidence)"
Claude-4-Sonnet-20250514,claude-sonnet-4-20250514,"Scale SEAL alias (auto, high-confidence)"
Claude Opus 4,claude-opus-4-20250514,"Scale SEAL alias (auto, high-confidence)"
Claude Opus 4 ,claude-opus-4-20250514,"Scale SEAL alias (auto, high-confidence)"
Claude Opus 4.1,claude-opus-4-1-20250805,"Scale SEAL alias (auto, high-confidence)"
Claude Sonnet 4,claude-sonnet-4-20250514,"Scale SEAL alias (auto, high-confidence)"
claude-4-Sonnet,claude-sonnet-4-20250514,"Scale SEAL alias (auto, high-confidence)"
claude-4-5-Sonnet,claude-sonnet-4-5-20250929,"Scale SEAL alias (auto, high-confidence)"
claude-4-5-haiku,claude-haiku-4-5-20251001,"Scale SEAL alias (auto, high-confidence)"
claude-haiku-4-5,claude-haiku-4-5-20251001,"Scale SEAL alias (auto, high-confidence)"
Opus 4.5,claude-opus-4-5-20251101,"Scale SEAL alias (auto, high-confidence)"
Opus 4.8,claude-opus-4-8_unknown,"Scale SEAL alias (effort-less -> _unknown bucket, Remote Labor Index)"
claude-opus-4-1-20250805_anthropic,claude-opus-4-1-20250805,"Scale SEAL alias (auto, high-confidence)"
GPT-4.5 Preview (February 2025),gpt-4.5-preview-2025-02-27,"Scale SEAL alias (auto, high-confidence)"
GPT-4o (May 2024),gpt-4o-2024-05-13,"Scale SEAL alias (auto, high-confidence)"
GPT-4o (August 2024),gpt-4o-2024-08-06,"Scale SEAL alias (auto, high-confidence)"
GPT-4o (November 2024),gpt-4o-2024-11-20,"Scale SEAL alias (auto, high-confidence)"
GPT-4.1,gpt-4.1-2025-04-14,"Scale SEAL alias (auto, high-confidence)"
gpt-4.1,gpt-4.1-2025-04-14,"Scale SEAL alias (auto, high-confidence)"
GPT-4.1 mini,gpt-4.1-mini-2025-04-14,"Scale SEAL alias (auto, high-confidence)"
GPT-4.1 nano,gpt-4.1-nano-2025-04-14,"Scale SEAL alias (auto, high-confidence)"
claude-opus-4-6 (max),claude-opus-4-6_max,"Scale SEAL alias (auto, high-confidence)"
claude-opus-4-6-thinking-max,claude-opus-4-6_max,"Scale SEAL alias (auto, high-confidence)"
claude-opus-4-7 (max),claude-opus-4-7_max,"Scale SEAL alias (auto, high-confidence)"
claude-opus-4-8 (max),claude-opus-4-8_max,"Scale SEAL alias (auto, high-confidence)"
gemini-3.5-flash (high),gemini-3.5-flash_high,"Scale SEAL alias (auto, high-confidence)"
gpt-5-2025-08-07 (High),gpt-5-2025-08-07_high,"Scale SEAL alias (auto, high-confidence)"
gpt-5.4-2026-03-05 (xhigh thinking),gpt-5.4-2026-03-05_xhigh,"Scale SEAL alias (auto, high-confidence)"
gpt-5.5 (xhigh),gpt-5.5_xhigh,"Scale SEAL alias (auto, high-confidence)"
o3 (high) (April 2025),o3-2025-04-16_high,"Scale SEAL alias (auto, high-confidence)"
o3 (medium) (April 2025),o3-2025-04-16_medium,"Scale SEAL alias (auto, high-confidence)"
o3-2025-04-16-high,o3-2025-04-16_high,"Scale SEAL alias (auto, high-confidence)"
o3-2025-04-16-medium,o3-2025-04-16_medium,"Scale SEAL alias (auto, high-confidence)"
o3-2025-04-16-reasoning-high,o3-2025-04-16_high,"Scale SEAL alias (auto, high-confidence)"
o3 Pro (high) (June 2025),o3-pro-2025-06-10_high,"Scale SEAL alias (auto, high-confidence)"
o3-pro-2025-06-10-high,o3-pro-2025-06-10_high,"Scale SEAL alias (auto, high-confidence)"
