axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,VPCT,Multimodal Understanding,2.925144454409594,-5.084151262320758,10.192179119075721
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,2.279262253350978,-4.940917702669882,8.57599293181799
axis1,ARC-AGI-2,Core AGI Progress,2.059868272999937,-8.026808265766848,10.428851575044906
axis1,MATH Level 5,High End Math Reasoning,1.8078404518433602,-3.9335787670994944,6.414265812016538
axis1,ARC-AGI,Core AGI Progress,1.6814068927663302,-4.96757889022477,7.130450248594483
axis1,FrontierMath Tier 4,High End Math Reasoning,1.671516155097303,-5.160419323707666,5.647594582002589
axis1,CritPt,Domain Specific Questions,1.6121765708966342,-4.529282172480411,5.971140984067803
axis1,FrontierMath,High End Math Reasoning,1.4490481490030065,-3.628470655242451,4.867896065965145
axis1,SimpleQA Verified,Domain Specific Questions,1.3612593020176122,-0.8014631601730988,3.21820070515422
axis1,EnigmaEval,General Reasoning,1.3571271328839334,-1.6950808642015252,3.3926248670045642
axis1,Humanity's Last Exam,Domain Specific Questions,1.3044534406222117,-2.1360781142291567,3.497266991840426
axis1,VisualToolBench,Multimodal Understanding,1.2848870868421138,-2.789173786363681,3.9130552030607837
axis1,Fiction.LiveBench,Advanced Language and Writing,1.2532750739301832,-2.0187858524010522,4.006833946929372
axis1,Chess Puzzles,General Reasoning,1.2461988947233176,-3.5401831726817434,6.367982651082207
axis1,GPQA Diamond Chemistry,Chemistry,1.2407339526306482,-2.353619593987806,4.498011324606648
axis1,GPQA Diamond,Domain Specific Questions,1.1604360844264248,-1.9890388273331694,3.945035032126223
axis1,APEX Agents,Core AGI Progress,1.056350108199274,-3.315131708283603,3.9785114781319857
axis1,GPQA Main Chemistry,Chemistry,1.0402110981952863,-1.4583063786728554,4.164051184509593
axis1,WMDP Chemistry,Chemistry,0.9676330378728887,-2.162699578058572,2.6188347568758195
axis1,BioLP-bench,Biology,0.9588332581400087,-1.879813325677439,3.7091463234453945
axis1,MMLU Pro Chemistry,Chemistry,0.8957871176619473,-1.8261689279100333,3.1633976079266364
axis1,MultiNRC,Advanced Language and Writing,0.849242618704874,-1.5295441424760345,3.2695086424810897
axis1,LiveBench,Core AGI Progress,0.8054240690637774,-0.9291583831209778,1.9045484120711822
axis1,WMDP Biology,Biology,0.7577121355430908,-1.9853043788999678,2.3570575317509666
axis1,LAB-Bench SeqQA,Biology,0.7292277350428924,-1.9328758006885964,2.5602222002994948
axis1,GPQA Main Biology,Biology,0.6651010874258195,-1.6533050970064123,2.800959573579012
axis1,CursorBench,Autonomous SWE,0.5938039730423801,-2.890049144297151,3.1203573118203654
axis1,GPQA Diamond Biology,Biology,0.529442322027772,-2.224443494912169,2.859059224314569
axis1,WeirdML,Autonomous SWE,0.5255901442285825,-1.9414700223220618,2.8437533960958645
axis1,SEAL Instruction Following,Advanced Language and Writing,0.4953083111839308,-2.204944059980871,2.429975307010986
axis1,AudioMultiChallenge,Multimodal Understanding,0.48456422216928496,-1.3328156114385843,2.226546190120071
axis1,MMLU Chemistry,Chemistry,0.45992868348067684,-1.0129306230997495,1.6677532985742063
axis1,LAB-Bench Cloning,Biology,0.44922251510313665,-1.7320399388152667,3.6372211459594497
axis1,SciCode,Autonomous SWE,0.44109737322666936,-0.9280420106611447,1.2796482948701176
axis1,MultiChallenge,Advanced Language and Writing,0.4272701413365225,-0.8490225974344678,1.7342857821740159
axis1,LAB-Bench Protocol,Biology,0.4239051012964228,-0.918276331815204,2.14888760847312
axis1,The Agent Company,Agentic Computer Use,0.4236143893428086,-4.704197339363797,6.127962358147645
axis1,SEAL Tool Use (Enterprise),Agentic Computer Use,0.39339929248696653,-1.5302136804047974,1.6809194958375229
axis1,Aider Polyglot,Autonomous SWE,0.37841886362681987,-4.583220160121042,6.05070183486892
axis1,Visual Task Assessment (VISTA),Multimodal Understanding,0.37112445782166104,-0.3975878280617325,0.8540104532976511
axis1,CL-Bench Life,Domain Specific Questions,0.30984667135698984,-2.311299732081456,2.7069547415195556
axis1,MMLU Pro Biology,Biology,0.3089434139966888,-1.7100725734333901,2.6367457283234166
axis1,BALROG,General Reasoning,0.3004610390512338,-1.136395863426747,1.8643214183570296
axis1,SimpleBench,General Reasoning,0.2642256853565376,-2.2356929627065574,4.4423929839711915
axis1,TutorBench,Advanced Language and Writing,0.2625661448049412,-0.5190251890973742,0.9588389200517662
axis1,LAB-Bench LitQA2,Biology,0.24115378096039997,-0.8725390581139186,1.2548776527174077
axis1,GeoBench,Multimodal Understanding,0.2254340733522302,-1.3963192775855178,2.6131814177332693
axis1,MMLU Biology,Biology,0.2097540206820897,-0.6799380961792352,0.9648739174560171
axis1,Video-MME,Multimodal Understanding,0.2071945101280222,-1.9192617585604403,1.939872964333121
axis1,ForecastBench,General Reasoning,0.20253502373384474,-0.5525699263530942,0.8339379511907128
axis1,CAD-Eval,Multimodal Understanding,0.19697707948609355,-3.57832603400702,5.147565973890572
axis1,ExploitBench,Agentic Computer Use,0.16399560673765323,-5.092686019154443,4.4696734900114725
axis1,LAMBADA,General Reasoning,0.15106049225384424,-1.1542836749958822,1.001281732265375
axis1,TerminalBench,Agentic Computer Use,0.13787826708209433,-3.4524367227624166,5.315156694399144
axis1,PRBench Legal,Domain Specific Questions,0.1267363229574321,-1.1209643623252517,1.3299094611460842
axis1,TriviaQA,Domain Specific Questions,0.10093358443753378,-1.8042381592401153,1.7127226565539302
axis1,CL-Bench,Domain Specific Questions,0.08907929814872227,-1.351611052462871,1.6304821572437167
axis1,FrontierCode,Autonomous SWE,0.06082504134198317,-4.890881613583855,4.211093307652267
axis1,PRBench Finance,Domain Specific Questions,0.049190493744537885,-1.2223123335520898,1.4819643743016355
axis1,HellaSwag,General Reasoning,0.04360531749566056,-2.5060286883821794,2.2597766269644244
axis1,Lech Mazur Writing,Advanced Language and Writing,0.02241296764787549,-1.545530296234022,1.5629272677636166
axis1,WinoGrande,General Reasoning,0.02108252651631069,-2.7281375862915844,2.6821482450669905
axis1,MCP Atlas,Agentic Computer Use,-0.004175350716453918,-2.6097330114346002,3.6156539409500397
axis1,METR Time Horizons,Autonomous SWE,-0.04161082474800322,-1.9264814687801028,2.8782913114756603
axis1,PIQA,General Reasoning,-0.06976812749084732,-1.1811433824368045,1.2493571574823124
axis1,DeepResearchBench,Agentic Computer Use,-0.09087668220325382,-1.2369662291051966,1.974770658967653
axis1,PostTrainBench,Autonomous SWE,-0.12905571919036574,-2.761785172509899,3.206054173497438
axis1,SWE-Bench Verified,Autonomous SWE,-0.3372311623632134,-2.558519002736613,3.6830114482975174
axis1,OS World (Screenshot),Agentic Computer Use,-0.4616836808286322,-5.795738909957217,4.66419728612603
axis1,OS World 2,Agentic Computer Use,-0.49124270406610543,-4.97638040398294,4.301281910354154
axis1,SWE-Bench Pro,Autonomous SWE,-0.5280179284753688,-3.37030756846816,4.051132509213893
axis1,BoolQ,General Reasoning,-0.534956486804604,-2.7662795662297164,3.0560033582334336
axis1,SuperGLUE,General Reasoning,-0.6154324111114449,-3.3293950448416814,3.5768495798425595
axis1,CSQA2,General Reasoning,-0.6872889210592394,-5.234174661811425,4.211643676329304
axis1,ScienceQA,Domain Specific Questions,-0.6879558145960194,-3.3874396961462927,3.3806165059424105
axis1,Remote Labor Index,Core AGI Progress,-0.7055713080035366,-3.955429674918098,4.087643607347389
axis1,SWE-Bench Pro (Private),Autonomous SWE,-0.771708462547712,-4.118326414690032,4.86463309197388
axis1,Cybench,Agentic Computer Use,-0.9905582814654588,-6.360610856484702,7.662221830677303
axis1,Adversarial NLI,General Reasoning,-1.0295823324500595,-5.493942934723914,4.970163391385716
axis1,OpenBookQA,Domain Specific Questions,-1.2937027122412492,-4.654047892910795,4.38143395790312
axis1,MMLU,Domain Specific Questions,-1.3327358993185374,-3.1954943050310294,4.1210643607882815
axis1,GSO-Bench,Autonomous SWE,-1.3714241102710885,-4.877993606159978,7.273887814825791
axis1,BIG-Bench Hard (BBH),Domain Specific Questions,-1.5392590914118651,-4.193442360684615,5.118720887503701
