axis,benchmark,category,loading_median,hdi_low,hdi_high,bench_norm,axis_share
axis1,VPCT,Multimodal Understanding,3.8339067319174083,3.0809437611626835,4.629267049498668,3.8519451687584767,0.9906560454142125
axis1,ARC-AGI-2,Core AGI Progress,3.019686850109996,2.7126653621190298,3.310574849938011,3.561206655098129,0.7190009478282461
axis1,FrontierMath Tier 4,High End Math Reasoning,2.522772449449601,2.0662196722602713,2.9579451421895286,2.7479221240412777,0.8428442293355647
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,2.4690289278537905,2.2928500736590216,2.6545360742463138,2.4712315787473598,0.9982181603032823
axis1,ARC-AGI,Core AGI Progress,2.192601985067843,1.9870566805656138,2.4119049792490945,2.573763920632542,0.725741885585155
axis1,MATH Level 5,High End Math Reasoning,2.056236269366797,1.8935515063123478,2.2324768580236083,2.064055597958036,0.9924376867646042
axis1,Aider Polyglot,Autonomous SWE,1.846857495602014,1.567368913454052,2.1533067064137885,2.3407642121950545,0.622517313935868
axis1,Fiction.LiveBench,Advanced Language and Writing,1.7333109252562233,1.0909201895418208,2.355799454798643,1.8890099752195737,0.84194640381767
axis1,GPQA Diamond Chemistry,Chemistry,1.7193733381472012,1.3421846956575438,2.1194283471653015,1.747471528020548,0.9680998640104572
axis1,FrontierMath,High End Math Reasoning,1.7063189221210617,1.4658021909429555,1.9735872485238577,1.816331227193783,0.8825317013164664
axis1,CritPt,Domain Specific Questions,1.6943451961671796,1.4881101940986494,1.9132419388334176,1.839211738234029,0.8486728938966445
axis1,DeepSWE,Autonomous SWE,1.6159937846620016,1.237656188716073,1.9751284881966178,1.8148566251915554,0.7928567534109127
axis1,GPQA Main Chemistry,Chemistry,1.6048981756256446,1.337449155484644,1.8886882644685214,1.62623580726133,0.973930413565083
axis1,Cybench,Agentic Computer Use,1.5686576733598439,1.158615910779517,1.9321923165577697,2.2153356734697223,0.5013918548834015
axis1,VisualToolBench,Multimodal Understanding,1.4011831973111408,1.1557395121222611,1.6521438953650776,1.5719444551046675,0.794539420333831
axis1,TerminalBench,Agentic Computer Use,1.3813134789268209,1.1714210689728737,1.6220442246010414,1.7449130840906673,0.6266671089245888
axis1,GSO-Bench,Autonomous SWE,1.3629306898460896,1.0981134146253282,1.6369187329473307,2.1424259145754907,0.40470252684474917
axis1,ProofBench,High End Math Reasoning,1.3581676983442976,0.9629083179509991,1.7628042212181025,1.9223180584927386,0.49917899584274966
axis1,Surface Evolver Bench,Autonomous SWE,1.3472424345159046,0.9444040210831741,1.768571697343548,1.6211071477642125,0.6906659816471834
axis1,Humanity's Last Exam,Domain Specific Questions,1.3445879316487794,1.1902401412610364,1.511256622013684,1.4186952838341285,0.8982560848421427
axis1,BioLP-bench,Biology,1.3387285181979451,1.0829839268276795,1.6314066931781825,1.3792745096539538,0.9420709454467182
axis1,EnigmaEval,General Reasoning,1.3383989330659067,1.1234712256435802,1.5525500724417163,1.472953069134397,0.825644978939529
axis1,CSQA2,General Reasoning,1.329576330401594,0.6204874932813405,2.098055784103669,1.730331267624765,0.5904294869759529
axis1,CAD-Eval,Multimodal Understanding,1.3056811508379913,0.9077527498034413,1.7271502644246963,1.766371412391808,0.5463994008943999
axis1,GPQA Diamond,Domain Specific Questions,1.2838300094310737,1.1974313249102462,1.3803401085499885,1.3002339876788576,0.9749268198182801
axis1,The Agent Company,Agentic Computer Use,1.2530715278643794,0.6222559638661431,1.837387690845891,1.9648822448656842,0.4067042096574586
axis1,MMLU Pro Chemistry,Chemistry,1.172460342395734,1.011650279035295,1.3307826289436915,1.259600845927971,0.8664239259112555
