model,benchmark,score,model_idx,benchmark_idx
Baichuan 2-7B,ARC AI2,0.10000000000000002,1,4
Baichuan 2-7B,BBH,0.2213333333333333,1,6
Baichuan 2-7B,GSM8K,0.246,1,16
Baichuan 2-7B,HellaSwag,0.5733333333333334,1,18
Baichuan 2-7B,LAMBADA,0.733,1,19
Baichuan 2-7B,MMLU,0.3888,1,22
Baichuan1-7B,BBH,0.0997333333333333,2,6
Baichuan1-7B,GSM8K,0.092,2,16
Baichuan1-7B,MMLU,0.23066666666666666,2,22
Baichuan1-7B,PIQA,0.524,2,26
Baichuan2-13B,ARC AI2,0.17333333333333334,3,4
Baichuan2-13B,BBH,0.32,3,6
Baichuan2-13B,GSM8K,0.528,3,16
Baichuan2-13B,HellaSwag,0.6106666666666666,3,18
Baichuan2-13B,LAMBADA,0.74,3,19
Baichuan2-13B,MMLU,0.45599999999999996,3,22
Baichuan2-13B,PIQA,0.562,3,26
Cerebras-GPT-13B,ARC AI2,0.09866666666666668,4,4
Cerebras-GPT-13B,HellaSwag,0.4586666666666666,4,18
Cerebras-GPT-13B,MMLU,0.016000000000000014,4,22
Cerebras-GPT-13B,OpenBookQA,0.144,4,23
Cerebras-GPT-13B,PIQA,0.47,4,26
Cerebras-GPT-13B,Winogrande,0.21599999999999997,4,37
Claude 2,GPQA diamond,0.1287878787878788,5,15
Claude 2,MATH level 5,0.1172583081570997,5,21
Claude 2,MMLU,0.7133333333333334,5,22
Claude 2,OTIS Mock AIME 2024-2025,0.025,5,25
Claude 2,TriviaQA,0.875,5,33
Claude 2.1,GPQA diamond,0.10606060606060604,6,15
Claude 2.1,MMLU,0.6466666666666666,6,22
Claude 2.1,OTIS Mock AIME 2024-2025,0.01944444444444444,6,25
Claude 2.1,WeirdML,0.0706,6,36
Claude 3 Haiku,CadEval,0.12,7,7
Claude 3 Haiku,GPQA diamond,0.15067340067340065,7,15
Claude 3 Haiku,MATH level 5,0.1487915407854985,7,21
Claude 3 Haiku,MMLU,0.6506666666666666,7,22
Claude 3 Haiku,OTIS Mock AIME 2024-2025,0.01805555555555555,7,25
Claude 3 Haiku,ScienceQA,0.6266666666666666,7,27
Claude 3 Haiku,WeirdML,0.0984,7,36
Claude 3 Haiku,Winogrande,0.484,7,37
Claude 3 Opus,Cybench,0.1,8,9
Claude 3 Opus,GPQA diamond,0.29545454545454547,8,15
Claude 3 Opus,MATH level 5,0.37481117824773413,8,21
Claude 3 Opus,MMLU,0.7946666666666666,8,22
Claude 3 Opus,OTIS Mock AIME 2024-2025,0.04722222222222222,8,25
Claude 3 Opus,SimpleBench,0.08199963279985309,8,28
Claude 3 Opus,WeirdML,0.2318,8,36
Claude 3 Opus,Winogrande,0.77,8,37
Claude 3 Sonnet,GPQA diamond,0.2079124579124579,9,15
Claude 3 Sonnet,MATH level 5,0.18174093655589124,9,21
Claude 3 Sonnet,MMLU,0.6786666666666666,9,22
Claude 3 Sonnet,OTIS Mock AIME 2024-2025,0.025,9,25
Claude 3 Sonnet,WeirdML,0.1016,9,36
Claude 3 Sonnet,Winogrande,0.502,9,37
Claude 3.5 Haiku,Aider polyglot,0.28,10,1
Claude 3.5 Haiku,Balrog,0.193,10,5
Claude 3.5 Haiku,CadEval,0.32,10,7
Claude 3.5 Haiku,FrontierMath-2025-02-28-Private,0.00344827586206896,10,12
Claude 3.5 Haiku,GPQA diamond,0.1750841750841751,10,15
Claude 3.5 Haiku,GeoBench,0.34,10,14
Claude 3.5 Haiku,Lech Mazur Writing,0.735,10,20
Claude 3.5 Haiku,MATH level 5,0.4635574018126888,10,21
Claude 3.5 Haiku,MMLU,0.6573333333333333,10,22
Claude 3.5 Haiku,OTIS Mock AIME 2024-2025,0.04305555555555555,10,25
Claude 3.5 Haiku,SimpleQA Verified,0.067,10,29
Claude 3.5 Haiku,WeirdML,0.3073,10,36
Claude 3.5 Sonnet,Cybench,0.175,11,9
Claude 3.5 Sonnet,FrontierMath-2025-02-28-Private,0.01034482758620689,11,12
Claude 3.5 Sonnet,FrontierMath-Tier-4-2025-07-01-Private,0,11,13
Claude 3.5 Sonnet,GPQA diamond,0.3872053872053873,11,15
Claude 3.5 Sonnet,MATH level 5,0.5168051359516617,11,21
Claude 3.5 Sonnet,MMLU,0.82,11,22
Claude 3.5 Sonnet,OTIS Mock AIME 2024-2025,0.06527777777777778,11,25
Claude 3.5 Sonnet,SimpleBench,0.12999965199986083,11,28
Claude 3.5 Sonnet,VPCT,0.33,11,35
Claude 3.5 Sonnet,VideoMME,0.4666666666666666,11,34
Claude 3.5 Sonnet,WeirdML,0.3097,11,36
Claude 3.5 Sonnet (October 2024),Aider polyglot,0.516,12,1
Claude 3.5 Sonnet (October 2024),Balrog,0.326,12,5
Claude 3.5 Sonnet (October 2024),CadEval,0.48,12,7
Claude 3.5 Sonnet (October 2024),FrontierMath-2025-02-28-Private,0.02068965517241379,12,12
Claude 3.5 Sonnet (October 2024),FrontierMath-Tier-4-2025-07-01-Private,0,12,13
Claude 3.5 Sonnet (October 2024),GPQA diamond,0.404040404040404,12,15
Claude 3.5 Sonnet (October 2024),GSO-Bench,0.046,12,17
Claude 3.5 Sonnet (October 2024),GeoBench,0.62,12,14
Claude 3.5 Sonnet (October 2024),Lech Mazur Writing,0.8029999999999999,12,20
Claude 3.5 Sonnet (October 2024),MATH level 5,0.5694864048338368,12,21
Claude 3.5 Sonnet (October 2024),MMLU,0.8306666666666667,12,22
Claude 3.5 Sonnet (October 2024),OTIS Mock AIME 2024-2025,0.08472222222222223,12,25
Claude 3.5 Sonnet (October 2024),SimpleBench,0.2967997187198875,12,28
Claude 3.5 Sonnet (October 2024),The Agent Company,0.24,12,32
Claude 3.5 Sonnet (October 2024),VPCT,0.33,12,35
Claude 3.5 Sonnet (October 2024),WeirdML,0.3997,12,36
Claude 3.7 Sonnet,ARC-AGI,0.286,13,3
Claude 3.7 Sonnet,Aider polyglot,0.649,13,1
Claude 3.7 Sonnet,CadEval,0.54,13,7
Claude 3.7 Sonnet,Cybench,0.2,13,9
Claude 3.7 Sonnet,DeepResearch Bench,0.436,13,10
Claude 3.7 Sonnet,Fiction.LiveBench,0.833,13,11
Claude 3.7 Sonnet,FrontierMath-2025-02-28-Private,0.04137931034482758,13,12
Claude 3.7 Sonnet,GPQA diamond,0.7133838383838383,13,15
Claude 3.7 Sonnet,GSO-Bench,0.038,13,17
Claude 3.7 Sonnet,GeoBench,0.68,13,14
Claude 3.7 Sonnet,Lech Mazur Writing,0.8109999999999999,13,20
Claude 3.7 Sonnet,MATH level 5,0.9116314199395772,13,21
