benchmark,group,score,note,source
Adversarial NLI,Average Human,0.849,"PROVISIONAL — verifier-vs-writer label agreement (avg of rounds A1-A3, Table 11), non-expert MTurk verifiers. An inter-annotator AGREEMENT figure measured during dataset construction, NOT a measured test-set accuracy; mildly circular (verifiers help define the gold label). Review before treating as canonical.",https://arxiv.org/abs/1910.14599
ARC-AGI,Average Human,0.77,MTurk,https://arcprize.org/leaderboard
ARC-AGI,Committee of Average Humans,0.98,Human panel (at least two participants solved one or more sub-pairs within their first two attempts),https://arcprize.org/leaderboard
ARC-AGI,Skilled Generalist,0.98,STEM Graduates,https://arcprize.org/leaderboard
ARC-AGI-2,Average Human,0.6,average test-taker,https://arcprize.org/arc-agi/2/
ARC-AGI-2,Committee of Average Humans,0.999,Human panel,https://arcprize.org/leaderboard
BIG-Bench Hard (BBH),Average Human,0.677,average human raters,https://arxiv.org/pdf/2210.09261
BIG-Bench Hard (BBH),Top Performer,0.944,max human raters,https://arxiv.org/pdf/2210.09261
BoolQ,Average Human,0.9,Human annotators,https://arxiv.org/pdf/1905.10044
CSQA2,Average Human,0.903,average accuracy of humans,https://arxiv.org/pdf/2201.05320
CSQA2,Committee of Average Humans,0.941,majority vote,https://arxiv.org/pdf/2201.05320
FrontierMath,Committee of Domain Experts,0.35,solved collectively across all teams (40 exceptional math undergraduates and subject-matter experts) in four and a half hours and with internet access,EpochAI
GeoBench,Top Performer,0.9,top player,https://geobench.org/
GPQA Diamond,Domain Expert,0.812,"GPQA paper Table 2 Diamond expert accuracy (~81.3%), in-domain PhD validators. (Diamond is partly defined by expert correctness -> selection effect.) Independent Epoch/OpenAI figure 0.697 parked in review/.","https://arxiv.org/abs/2311.12022 — Rein et al. 2023, Table 2 (expert acc., Diamond subset)"
GPQA Diamond,Skilled Generalist,0.219,highly skilled and incentivized non-experts who have or are pursuing PhDs in other domains,"https://arxiv.org/abs/2311.12022 — Rein et al. 2023, Table 2 (non-expert acc., Diamond subset = 21.9%)"
GPQA Diamond Biology,Skilled Generalist,0.22,not in-domain PhD,"https://arxiv.org/abs/2311.12022 — Rein et al. 2023, Table 2 (aggregate Diamond non-expert 21.9%; no per-domain figure published), re-reported per-domain in RAND RR-A3797-1"
GPQA Diamond Chemistry,Skilled Generalist,0.22,not in-domain PhD,"https://arxiv.org/abs/2311.12022 — Rein et al. 2023, Table 2 (aggregate Diamond non-expert 21.9%; no per-domain figure published), re-reported per-domain in RAND RR-A3797-1"
GPQA Main Biology,Skilled Generalist,0.43,not in-domain PhD (remark:RAND appears to have mistakenly reported the Extended-set score as the Main-set score),"https://arxiv.org/abs/2311.12022 — Rein et al. 2023, Table 3 (Extended Biology non-expert = 43.2%); RAND RR-A3797-1 relabeled the Extended value as Main"
GPQA Main Chemistry,Skilled Generalist,0.31,not in-domain PhD (remark:RAND appears to have mistakenly reported the Extended-set score as the Main-set score),"https://arxiv.org/abs/2311.12022 — Rein et al. 2023, Table 3 (Extended Chemistry non-expert = 31.4%); RAND RR-A3797-1 relabeled the Extended value as Main"
GSM8K,Skilled Generalist,0.9677,qualified human annotators who have passed a qualification exam with at least a bachelor’sdegree,https://aclanthology.org/2024.acl-long.163.pdf
HellaSwag,Committee of Average Humans,0.956,majority vote of 5 crowd workers (MTurk),https://aclanthology.org/P19-1472.pdf
MATH Level 5,Domain Expert,0.9,a three-time IMO gold medalist university student,https://arxiv.org/pdf/2103.03874v1
MATH Level 5,Skilled Generalist,0.4,a computer science PhD student who does not especially like mathematics,https://arxiv.org/pdf/2103.03874v1
MATH Level 5,Top Performer,0.9,Triple IMO gold medalist (article anchor),manually added
MMLU,Average Human,0.345,MTurk,https://arxiv.org/pdf/2009.03300v3
MMLU,Domain Expert,0.898,score is an estimation from the authors,https://arxiv.org/pdf/2009.03300v3
MMLU Biology,Top Performer,0.9,baseline represent the 95th percentile of human test-takers,https://www.rand.org/pubs/research_reports/RRA3797-1.html
MMLU Chemistry,Top Performer,0.9,baseline represent the 95th percentile of human test-takers,https://www.rand.org/pubs/research_reports/RRA3797-1.html
OpenBookQA,Average Human,0.92,probability from random human subjects,https://arxiv.org/pdf/1809.02789
OS World (Screenshot),Skilled Generalist,0.724,individuals not familiar with the software,https://arxiv.org/pdf/2404.07972
OTIS Mock AIME 2024-2025,High School Qualifier,0.53,average score by high school students from the OTIS program (percentage from number of questions answered),https://web.evanchen.cc/exams/sols-OTIS-Mock-AIME-2025.pdf
OTIS Mock AIME 2024-2025,High School Top Performer,0.93,top scorer from the OTIS program (percentage from number of questions answered),https://web.evanchen.cc/exams/sols-OTIS-Mock-AIME-2025.pdf
PIQA,Committee of Skilled Generalists,0.949,majority vote of top annotators,https://arxiv.org/pdf/1911.11641
PRBench Finance,Committee of Domain Experts,0.796,agreement between human experts,https://arxiv.org/pdf/2511.11562v1
PRBench Legal,Committee of Domain Experts,0.796,agreement between human experts,https://arxiv.org/pdf/2511.11562v1
ScienceQA,Average Human,0.884,MTurk with high school or higher degree and who have passed the qualification examples,https://arxiv.org/pdf/2209.09513
SimpleBench,Average Human,0.837,nine non-specialized humans,https://simple-bench.com/
SuperGLUE,Average Human,0.898,human performance estimates after training phase,https://arxiv.org/pdf/1905.00537
TriviaQA,Average Human,0.797,human performance level,https://arxiv.org/pdf/1705.03551v2
Visual Task Assessment (VISTA),Skilled Generalist,0.554,16 full-time employees,https://scale.com/leaderboard/visual_language_understanding
VPCT,Average Human,0.999,three volunteers,EpochAI
WinoGrande,Committee of Average Humans,0.94,majority vote of crowd workers (MTurk),https://arxiv.org/pdf/1907.10641
SimpleQA Verified,Skilled Generalist,0.944,Grader Going through the test,OpenAI arXiv 2411.04368 §2.2
BlueprintBench 2,Domain Expert,0.59,"PROVISIONAL — n=1. One human on 12 of the 50 apartments. The paper states NO qualification for them, so this Domain Expert filing rests on the score profile (100th pct of 21 machines) rather than on documented expertise; revisit if Andon publishes the baseliner's background. Two reasons 0.59 is a floor: the human drew iteratively while models answered in one shot, and the authors judge their similarity scorer understates the human lead (connectivity always correct, size ranking not).",https://epoch.ai/benchmarks/blueprint-bench-2 (normalized 0.59; Andon's own page 403s to fetches); protocol in arXiv 2509.25229 sec 4 (BlueprintBench 1). A raw composite of 0.547 circulates in secondary write-ups and is UNVERIFIED against the primary.
EBR-bench,Domain Expert,0.95,"PROVISIONAL — n=1. One experienced Earthborne Rangers player, ~20/21 objectives, against ~9-10/21 for frontier models. Expertise is in the tested game itself, which is why this sits in Domain Expert. An anecdotal playthrough, not a designed baseline study: physical play over hours against agents in Epoch's harness, no variance estimate, conditions not matched.",https://epoch.ai/publications/earthborne-rangers-benchmark
GDPval,Domain Expert,0.5,"Parity by symmetry, not a measured sitting: the score is a STRICT win rate (deliverable graded BETTER than an industry expert's), so an expert drawn from the reference pool wins 0.5 against it. Experts average ~14 yr in-occupation experience over 44 occupations. mu=0.5 gives A*theta=D, so this row anchors GDPval's difficulty at the expert ability level. VALID ONLY while the column carries strict wins: the wins-plus-ties variant puts the expert at 1.0 and this row becomes wrong.",https://evals.openai.com/gdpval/leaderboard — 'Parity with Industry Expert (50%)' reference line; method in arXiv 2510.04374 (OpenAI GDPval)
BioLP-bench,Domain Expert,0.384,Bachelor's w/ lab experience,https://www.rand.org/pubs/research_reports/RRA3797-1.html
LAB-Bench Cloning,Domain Expert,0.6,In-domain PhD,https://www.rand.org/pubs/research_reports/RRA3797-1.html
LAB-Bench LitQA2,Domain Expert,0.7,In-domain PhD,https://www.rand.org/pubs/research_reports/RRA3797-1.html
LAB-Bench SeqQA,Domain Expert,0.78,In-domain PhD,https://www.rand.org/pubs/research_reports/RRA3797-1.html
LAB-Bench Protocol,Domain Expert,0.79,In-domain PhD,https://www.rand.org/pubs/research_reports/RRA3797-1.html
GPQA Diamond Biology,Domain Expert,0.831,In-domain PhD,https://www.rand.org/pubs/research_reports/RRA3797-1.html
GPQA Main Biology,Domain Expert,0.667,In-domain PhD,https://www.rand.org/pubs/research_reports/RRA3797-1.html
