obs_idx,model,benchmark,score,pit
50,glm-5.2_unknown,GBAEval,0.0001721823188174,0.01
51,qwen3.5-9B,CritPt,0.0028571428571428,0.698
52,qwen3.6-35b-a3b,CritPt,0.0028571428571428,0.0635
53,claude-sonnet-4-20250514_unknown,CritPt,0.0028571428571428,0.183
54,Qwen3-32B,CritPt,0.0028571428571428,0.3995
55,magistral-medium-2509,CritPt,0.0028571428571428,0.2805
56,magistral-small-2509,CritPt,0.0028571428571428,0.419
57,command-a-plus-05-2026,CritPt,0.0028571428571428,0.303
58,o3-mini-2025-01-31_high,CritPt,0.0028571428571428,0.1285
59,gpt-5.6-luna_none,CritPt,0.0028571428571428,0.3595
60,claude-opus-4-20250514_unknown,CritPt,0.003,0.0645
61,Llama-3.2-90B-Vision-Instruct,EnigmaEval,0.0038,0.4745
62,text-ada-001,GSM8K,0.004,0.519
63,qwen3.7-max,GBAEval,0.0040666088933695,0.0635
64,gpt-4-0314,OTIS Mock AIME 2024-2025,0.0055555555555555,0.0445
65,gemma-2-9b-it,OTIS Mock AIME 2024-2025,0.0055555555555555,0.2855
66,MiniMax-M2.7,CritPt,0.0057142857142857,0.148
67,Llama-4-Maverick-17B-128E-Instruct,EnigmaEval,0.0058,0.178
68,o4-mini-2025-04-16_high,CritPt,0.006,0.0735
69,ada,GSM8K,0.006,0.2725
70,text-curie-001,GSM8K,0.006,0.2175
71,gemini-2.0-flash-001,EnigmaEval,0.0063,0.151
72,gemini-2.0-pro-exp-02-05,EnigmaEval,0.0069,0.107
73,babbage,GSM8K,0.007,0.3055
74,gpt-4o-2024-11-20,EnigmaEval,0.008,0.5385
75,claude-3-opus-20240229,EnigmaEval,0.0081999999999999,0.5845
76,gemini-2.5-pro-preview-06-05,Remote Labor Index,0.0083,0.1025
77,Meta-Llama-3-8B-Instruct,OTIS Mock AIME 2024-2025,0.0083333333333333,0.532
78,pixtral-large-2411,EnigmaEval,0.0084,0.507
79,gemini-3.1-pro-preview,GBAEval,0.0084627909799686,0.099
80,mercury-2,CritPt,0.0084897959183673,0.3585
81,kimi-k2.7-code,GBAEval,0.0085265631089688,0.172
82,trinity-large-thinking,CritPt,0.0085714285714285,0.654
83,kimi-k2.6,GBAEval,0.0086249321153157,0.1555
84,claude-3-5-sonnet-20241022,EnigmaEval,0.0091,0.3025
85,MiniMax-M3,GBAEval,0.009136320401503,0.2625
86,gemini-1.0-pro-001,BioLP-bench,0.01,0.286
87,deepseek-chat,Chess Puzzles,0.01,0.02
88,gpt-5-nano-2025-08-07_minimal,Chess Puzzles,0.01,0.1465
89,o1-2024-12-17_high,APEX Agents,0.011,0.0015
90,gpt-4o-2024-11-20,APEX Agents,0.011,0.204
91,DeepSeek-R1,CritPt,0.011,0.538
92,gemini-2.5-flash,CritPt,0.011,0.569
93,gemini-2.0-flash-thinking-exp-01-21,EnigmaEval,0.011,0.249
94,gpt-4-0613,OTIS Mock AIME 2024-2025,0.0111111111111111,0.154
95,gemini-1.0-pro-001,OTIS Mock AIME 2024-2025,0.0111111111111111,0.482
96,gemini-3.1-flash-lite,CritPt,0.0114285714285714,0.3805
97,gpt-oss-120b_high,CritPt,0.0114285714285714,0.247
