obs_idx,model,benchmark,score,pit
2,glm-5.2_unknown,GBAEval,0.0001721823188174,0.283
3,text-ada-001,GSM8K,0.004,0.5205
4,qwen3.7-max,GBAEval,0.0040666088933695,0.066
5,ada,GSM8K,0.006,0.297
6,text-curie-001,GSM8K,0.006,0.209
7,babbage,GSM8K,0.007,0.3205
8,gemini-3.1-pro-preview,GBAEval,0.0084627909799686,0.0555
9,kimi-k2.7-code,GBAEval,0.0085265631089688,0.1335
10,kimi-k2.6,GBAEval,0.0086249321153157,0.104
11,MiniMax-M3,GBAEval,0.009136320401503,0.219
12,gemini-1.0-pro-001,BioLP-bench,0.01,0.342
13,o3-mini-2025-01-31_low,GSO-Bench,0.013,0.2385
14,o3-mini-2025-01-31_high,GSO-Bench,0.013,0.08
15,amazon.nova-micro-v1:0,BioLP-bench,0.0139999999999999,0.4285
16,Mixtral-8x7B-Instruct-v0.1,BioLP-bench,0.0139999999999999,0.6545
17,Llama-4-Maverick-17B-128E-Instruct,VisualToolBench,0.0141,0.3075
18,codestral-2405,SWE-Bench Pro,0.0151,0.291
19,Llama-4-Scout-17B-16E-Instruct,VisualToolBench,0.0158,0.6705
20,curie,GSM8K,0.016,0.244
21,claude-3-haiku-20240307,BioLP-bench,0.016,0.3765
22,opt-66b,GSM8K,0.018,0.098
23,Llama-3.1-8B-Instruct,BioLP-bench,0.019,0.607
24,nova-premier,VisualToolBench,0.02,0.56
25,grok-build-0.1,GBAEval,0.0238125353588441,0.1915
26,mistral-large-2402,BioLP-bench,0.024,0.4035
27,claude-3-opus-20240229,BioLP-bench,0.025,0.076
28,Llama-3.1-70B-Instruct,BioLP-bench,0.026,0.122
29,amazon.nova-lite-v1:0,BioLP-bench,0.026,0.2405
30,claude-3-sonnet-20240229,BioLP-bench,0.026,0.4025
31,GLM-4.5-Air,GSO-Bench,0.0294,0.7775
32,Llama-2-70b-chat-hf,MATH Level 5,0.0328549848942598,0.217
33,gpt-oss-20b,TerminalBench,0.034,0.122
34,gpt-oss-20b_unknown,TerminalBench,0.034,0.4455
35,Mistral-7B-Instruct-v0.3,MATH Level 5,0.0359705438066465,0.5495
36,o4-mini-2025-04-16_high,GSO-Bench,0.036,0.2255
37,gpt-4o-mini-2024-07-18,Aider Polyglot,0.036,0.0305
38,open-mistral-7b,MATH Level 5,0.0368202416918429,0.657
39,Qwen2-VL-7B-Instruct,BALROG,0.037,0.202
40,claude-3-7-sonnet-20250219,GSO-Bench,0.038,0.6455
41,claude-3-7-sonnet-20250219_unknown,GSO-Bench,0.038,0.397
42,gemini-2.5-pro,GSO-Bench,0.039,0.1035
43,gemini-2.5-pro-preview-06-05,GSO-Bench,0.0392,0.029
44,opt-175b,GSM8K,0.04,0.1075
45,qwen2-72b-instruct,The Agent Company,0.042,0.233
46,Llama-3.1-405B-Instruct,BioLP-bench,0.042,0.0935
47,deepseek-coder-1.3b-base,GSM8K,0.044,0.487
48,claude-sonnet-4-20250514_unknown,VisualToolBench,0.0444,0.343
49,claude-sonnet-4-20250514,VisualToolBench,0.0448,0.4975
50,claude-3-5-sonnet-20241022,GSO-Bench,0.046,0.8015
51,gemma-3-4b-it,SimpleQA Verified,0.046046046046046,0.3575
52,gemini-2.5-flash,VisualToolBench,0.0469,0.529
53,claude-opus-4-1-20250805,VisualToolBench,0.0471,0.218
54,gemma-3-27b-it,Aider Polyglot,0.049,0.02
55,claude-sonnet-4-20250514,GSO-Bench,0.049,0.5535
56,Kimi-K2-Instruct,GSO-Bench,0.049,0.55
57,Qwen3-Coder-480B-A35B-Instruct,GSO-Bench,0.049,0.425
58,claude-sonnet-4-20250514_unknown,GSO-Bench,0.049,0.4875
59,Meta-Llama-3-70B-Instruct,Cybench,0.05,0.7745
60,Qwen2.5-VL-72B-Instruct,OS World (Screenshot),0.05,0.054
61,Yi-34B-Chat,MATH Level 5,0.0514539274924471,0.194
62,claude-opus-4-1-20250805_unknown,VisualToolBench,0.0516,0.162
63,Llama-4-Maverick-17B-128E-Instruct,SWE-Bench Pro,0.0524,0.0205
64,Mistral-7B-Instruct-v0.2,GPQA Diamond Chemistry,0.054,0.191
65,ministral-3b-2410,SimpleQA Verified,0.0542797494780793,0.391
66,Mistral-7B-Instruct-v0.2,GPQA Main Chemistry,0.055,0.1535
67,gpt-4.1-2025-04-14,VisualToolBench,0.0552,0.868
68,codestral-2501,SimpleQA Verified,0.055613850996852,0.2885
69,claude-sonnet-4-5-20250929,VisualToolBench,0.0559999999999999,0.1915
70,amazon.nova-pro-v1:0,The Agent Company,0.057,0.1275
71,gpt-oss-20b,SimpleQA Verified,0.0594503645541222,0.1525
72,amazon.nova-pro-v1:0,BioLP-bench,0.06,0.378
73,claude-3-5-sonnet-20240620,BioLP-bench,0.061,0.144
74,DeepSeek-V3,BioLP-bench,0.061,0.058
75,Meta-Llama-3-8B-Instruct,MATH Level 5,0.0612726586102719,0.243
76,claude-sonnet-4-5-20250929_unknown,VisualToolBench,0.062,0.1065
77,MiniMax-M2.5,CL-Bench Life,0.063,0.1205
78,deepseek-llm-67b-chat,MATH Level 5,0.0639161631419939,0.3715
79,Llama-3.2-1B-Instruct,BALROG,0.066,0.337
80,gemini-3.5-flash_unknown,GBAEval,0.0670136640255754,0.314
81,gemma-3-12b-it,SimpleQA Verified,0.0670335167583792,0.3095
82,falcon-7b,GSM8K,0.068,0.1855
83,gemini-1.5-pro-001,BioLP-bench,0.068,0.18
84,ministral-8b-2410,SimpleQA Verified,0.0681699003670686,0.408
85,claude-opus-4-20250514_unknown,GSO-Bench,0.0686,0.337
86,mimo-v2-pro_high,CL-Bench Life,0.069,0.4715
87,claude-opus-4-20250514,GSO-Bench,0.069,0.5825
88,gpt-5-2025-08-07_high,GSO-Bench,0.069,0.108
89,kimi-k2-thinking,PostTrainBench,0.0725,0.1705
90,deepseek-v3.2,CL-Bench Life,0.074,0.264
91,qwen3-max-2025-09-23,PostTrainBench,0.0742,0.296
92,glm-4.7,PostTrainBench,0.0748,0.1495
93,Mixtral-8x22B-Instruct-v0.1,Cybench,0.075,0.558
94,Llama-3.1-405B-Instruct,Cybench,0.075,0.3595
95,gemini-1.5-pro-001-feb24,Cybench,0.075,0.3345
96,qwen2.5-7b-instruct,BALROG,0.078,0.1315
97,muse-spark-1.1,GBAEval,0.0791725771495411,0.155
98,grok-4.3_high,GDP.pdf,0.08,0.054
99,gemini-1.5-pro-002,The Agent Company,0.08,0.0875
100,Llama-4-Maverick-17B-128E-Instruct,MultiNRC,0.0843999999999999,0.036
101,granite-4.0-h-small,SimpleQA Verified,0.0856983861992209,0.314
102,o3-2025-04-16_high,GSO-Bench,0.088,0.2505
103,gpt-4.1-nano-2025-04-14,Aider Polyglot,0.089,0.0575
104,davinci,GSM8K,0.09,0.331
105,gemma-4-26b-a4b-it,SimpleQA Verified,0.0905125408942202,0.348
106,gpt-4o-mini-2024-07-18,SimpleQA Verified,0.0906344410876133,0.306
107,mpt-7b,GSM8K,0.091,0.26
108,Baichuan-7B,GSM8K,0.092,0.2155
109,qwen3.5-9B,TerminalBench,0.092,0.5275
110,LFM2-Audio-1.5B,AudioMultiChallenge,0.0929,0.39
111,Mixtral-8x7B-Instruct-v0.1,MATH Level 5,0.0929003021148036,0.596
112,MiniMax-M2.1,PostTrainBench,0.0933,0.3745
113,DeepSeek-V3.2-Exp_thinking,CL-Bench Life,0.095,0.378
114,bloom,GSM8K,0.095,0.411
115,MiniMax-M2.5,PostTrainBench,0.095,0.6705
116,mistral-large-2407,BioLP-bench,0.095,0.58
117,glm-4.6,SWE-Bench Pro,0.0967,0.102
118,gemini-3-flash-preview,GSO-Bench,0.098,0.216
119,Llama-4-Scout-17B-16E-Instruct,BioLP-bench,0.099,0.591
120,claude-sonnet-4-5-20250929,PostTrainBench,0.0994,0.3915
121,open-mixtral-8x7b,MATH Level 5,0.0995090634441087,0.322
122,claude-3-opus-20240229,Cybench,0.1,0.786
