axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,2.590962803106988,-3.234355789525581,4.239327461688676
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,1.773615503567089,-1.1901691374285848,3.0173553021520685
axis1,ARC-AGI,Core AGI Progress,1.7337863487733591,-1.9911392202455542,2.8097774243944933
axis1,FrontierMath Tier 4,High End Math Reasoning,1.6125838850187058,-1.832661565785068,2.4690610397487442
axis1,Chess Puzzles,General Reasoning,1.379828707407988,-0.7779874081135443,2.2437015252164576
axis1,MATH Level 5,High End Math Reasoning,1.2890819612860944,-0.9161548675489943,2.3446437129051865
axis1,FrontierMath,High End Math Reasoning,1.2346642044821188,-1.128978316584347,1.7099616788177372
axis1,Humanity's Last Exam,Domain Specific Questions,0.9472827700303483,-0.6887698200256768,1.3754506107757327
axis1,APEX Agents,Core AGI Progress,0.8971785510996306,-1.164172280028699,1.5109380685685494
axis1,Fiction.LiveBench,Advanced Language and Writing,0.8708404406793339,-0.7746249207890709,1.7986812686817282
axis1,VisualToolBench,Multimodal Understanding,0.8276097257375654,-0.6344912012160182,1.573424260870859
axis1,BioLP-bench,Biology,0.7545964509292031,-0.2859557987403009,1.416454559602539
axis1,EnigmaEval,General Reasoning,0.7198854198045181,-0.5653763159963292,1.4563456100914096
axis1,TerminalBench,Agentic Computer Use,0.711960461141755,-1.2156000241024763,1.2284010438855595
axis1,Aider Polyglot,Autonomous SWE,0.7083886555643395,-1.3116919142274475,1.8882258584578515
axis1,GPQA Diamond Chemistry,Chemistry,0.6422102711325841,-0.8576658220245074,1.3008788070984114
axis1,Cybench,Agentic Computer Use,0.6312000474205375,-2.05652994784175,2.076615789879394
axis1,GPQA Diamond,Domain Specific Questions,0.6065446371965588,-0.4803095427305857,1.0853657527734941
axis1,OS World (Screenshot),Agentic Computer Use,0.5956240921067822,-1.6711309670100327,2.080392904117376
axis1,The Agent Company,Agentic Computer Use,0.5923133342231732,-1.5151512615573313,1.545624348088262
axis1,WeirdML,Autonomous SWE,0.5581501052178133,-0.6776268489021225,0.8536066188499497
axis1,SWE-Bench Pro (Private),Autonomous SWE,0.5455391342493728,-1.3911095594226985,1.6170373507285343
