obs_idx,model,benchmark,score,pit
0,Baichuan-2-13B-Base,ARC AI2,0.38,0.035
1,Baichuan-2-7B-Base,ARC AI2,0.325,0.0365
2,Cerebras-GPT-13B,ARC AI2,0.324,0.4825
3,CodeQwen1.5-7B,ARC AI2,0.357,0.165
4,DeepSeek-Coder-V2-Base,ARC AI2,0.643,0.113
5,DeepSeek-Coder-V2-Lite-Base,ARC AI2,0.573,0.2065
6,DeepSeek-V2,ARC AI2,0.922,0.838
7,DeepSeek-V3,ARC AI2,0.953,0.8655
8,INTELLECT-1-Instruct,ARC AI2,0.5452,0.4375
9,LLaMA-13B,ARC AI2,0.527,0.497
10,LLaMA-33B,ARC AI2,0.675,0.5965
11,LLaMA-65B,ARC AI2,0.695,0.5145
12,LLaMA-7B,ARC AI2,0.476,0.666
13,Llama-2-13b,ARC AI2,0.603,0.5145
14,Llama-2-34b,ARC AI2,0.545,0.195
15,Llama-2-70b-hf,ARC AI2,0.783,0.591
16,Llama-2-7b,ARC AI2,0.459,0.38
17,Llama-3.1-405B,ARC AI2,0.953,0.829
18,Meta-Llama-3-8B-Instruct,ARC AI2,0.828,0.9
19,Mistral-7B-v0.1,ARC AI2,0.786,0.795
20,Mixtral-8x7B-v0.1,ARC AI2,0.873,0.841
21,Nemotron-4 15B,ARC AI2,0.555,0.2635
22,PaLM 2-L,ARC AI2,0.692,0.271
23,PaLM 2-M,ARC AI2,0.649,0.27
24,PaLM 2-S,ARC AI2,0.596,0.302
25,PaLM 540B,ARC AI2,0.852,0.8625
26,PaLM 62B,ARC AI2,0.525,0.3365
27,Phi-3-medium-128k-instruct,ARC AI2,0.916,0.95
28,Phi-3-mini-4k-instruct,ARC AI2,0.849,0.8295
29,Phi-3-small-8k-instruct,ARC AI2,0.907,0.8745
30,Qwen-14B,ARC AI2,0.844,0.868
31,Qwen-1_8B,ARC AI2,0.532,0.8535
32,Qwen-7B,ARC AI2,0.753,0.93
33,Qwen2.5-72B,ARC AI2,0.945,0.7935
34,Qwen2.5-Coder-0.5B,ARC AI2,0.344,0.1285
35,Qwen2.5-Coder-1.5B,ARC AI2,0.452,0.0995
36,Qwen2.5-Coder-14B,ARC AI2,0.66,0.1135
37,Qwen2.5-Coder-32B,ARC AI2,0.705,0.1445
38,Qwen2.5-Coder-3B,ARC AI2,0.529,0.058
39,Qwen2.5-Coder-7B,ARC AI2,0.609,0.1295
40,RedPajama-INCITE-7B-Base,ARC AI2,0.391,0.6335
41,StableBeluga2,ARC AI2,0.861,0.868
42,Yi-6B,ARC AI2,0.503,0.1495
43,Yi-9B,ARC AI2,0.556,0.106
44,chatglm2-6b,ARC AI2,0.61,0.6345
45,claude-instant-1.1,ARC AI2,0.857,0.738
46,claude-instant-1.2,ARC AI2,0.863,0.7115
47,deepseek-coder-1.3b-base,ARC AI2,0.254,0.3225
48,deepseek-coder-33b-base,ARC AI2,0.422,0.3185
49,deepseek-coder-6.7b-base,ARC AI2,0.364,0.282
50,dolly-v2-12b,ARC AI2,0.396,0.653
51,falcon-180B,ARC AI2,0.678,0.3455
52,falcon-40b,ARC AI2,0.6186,0.5715
53,falcon-7b,ARC AI2,0.4786,0.7105
54,gemma-2b,ARC AI2,0.421,0.3555
55,gemma-7b,ARC AI2,0.783,0.7795
56,gpt-3.5-turbo-1106,ARC AI2,0.874,0.913
57,gpt-j-6b,ARC AI2,0.363,0.58
58,gpt2-xl,ARC AI2,0.25,0.6465
59,internlm-20b,ARC AI2,0.817,0.6835
60,internlm-7b,ARC AI2,0.695,0.821
61,mpt-30b,ARC AI2,0.506,0.4625
62,mpt-7b,ARC AI2,0.426,0.6475
63,open_llama_7b,ARC AI2,0.387,0.5245
64,opt-13b,ARC AI2,0.358,0.587
65,phi-1_5,ARC AI2,0.444,0.49
66,phi-2,ARC AI2,0.759,0.8195
67,starcoder2-15b,ARC AI2,0.472,0.0605
68,starcoder2-3b,ARC AI2,0.342,0.2395
69,starcoder2-7b,ARC AI2,0.387,0.279
70,text-davinci-001,ARC AI2,0.532,0.544
71,text-davinci-002,ARC AI2,0.852,0.918
72,vicuna-13b-v1.1,ARC AI2,0.432,0.249
73,xgen-7b-8k-base,ARC AI2,0.412,0.44
74,DeepSeek-R1,Aider Polyglot,0.569,0.571
75,DeepSeek-R1-0528,Aider Polyglot,0.7140000000000001,0.675
76,DeepSeek-V3,Aider Polyglot,0.484,0.8825
77,DeepSeek-V3-0324,Aider Polyglot,0.551,0.7505
78,DeepSeek-V3.2-Exp,Aider Polyglot,0.7020000000000001,0.5645
79,DeepSeek-V3.2-Exp_thinking,Aider Polyglot,0.742,0.711
80,Kimi-K2-Instruct,Aider Polyglot,0.591,0.597
81,Llama-4-Maverick-17B-128E-Instruct,Aider Polyglot,0.156,0.018
82,QwQ-32B,Aider Polyglot,0.209,0.1455
83,Qwen2.5-Coder-32B-Instruct,Aider Polyglot,0.1639999999999999,0.349
84,Qwen3-235B-A22B-Instruct-2507,Aider Polyglot,0.596,0.915
85,Qwen3-32B,Aider Polyglot,0.4,0.438
86,claude-3-5-haiku-20241022,Aider Polyglot,0.28,0.8525
87,claude-3-5-sonnet-20241022,Aider Polyglot,0.516,0.8815
88,claude-3-7-sonnet-20250219,Aider Polyglot,0.604,0.9295
89,claude-3-7-sonnet-20250219_32K,Aider Polyglot,0.649,0.576
90,claude-opus-4-20250514,Aider Polyglot,0.7070000000000001,0.718
91,claude-opus-4-20250514_32K,Aider Polyglot,0.72,0.508
92,claude-sonnet-4-20250514,Aider Polyglot,0.564,0.551
93,claude-sonnet-4-20250514_32K,Aider Polyglot,0.613,0.371
94,codestral-2501,Aider Polyglot,0.111,0.7415
95,deepseek-chat,Aider Polyglot,0.7020000000000001,0.743
96,deepseek-reasoner,Aider Polyglot,0.742,0.406
97,gemini-2.0-flash-exp,Aider Polyglot,0.222,0.427
98,gemini-2.0-flash-thinking-exp-01-21,Aider Polyglot,0.182,0.1775
99,gemini-2.0-pro-exp-02-05,Aider Polyglot,0.356,0.311
100,gemini-2.5-flash-preview-04-17,Aider Polyglot,0.471,0.51
101,gemini-2.5-flash-preview-05-20,Aider Polyglot,0.44,0.2615
102,gemini-2.5-flash-preview-05-20_24K,Aider Polyglot,0.551,0.501
103,gemini-2.5-pro-exp-03-25,Aider Polyglot,0.7290000000000001,0.52
104,gemini-2.5-pro-preview-05-06,Aider Polyglot,0.769,0.9045
105,gemini-2.5-pro-preview-06-05,Aider Polyglot,0.7909999999999999,0.514
106,gemini-2.5-pro-preview-06-05_32K,Aider Polyglot,0.831,0.5165
107,gemma-3-27b-it,Aider Polyglot,0.049,0.016
108,gpt-4.1-2025-04-14,Aider Polyglot,0.524,0.5985
109,gpt-4.1-mini-2025-04-14,Aider Polyglot,0.324,0.376
110,gpt-4.1-nano-2025-04-14,Aider Polyglot,0.089,0.069
111,gpt-4.5-preview-2025-02-27,Aider Polyglot,0.449,0.539
112,gpt-4o-2024-08-06,Aider Polyglot,0.231,0.4245
113,gpt-4o-2024-11-20,Aider Polyglot,0.182,0.327
114,gpt-4o-mini-2024-07-18,Aider Polyglot,0.036,0.0425
115,gpt-5-2025-08-07_high,Aider Polyglot,0.88,0.7495
116,gpt-5-2025-08-07_low,Aider Polyglot,0.813,0.496
117,gpt-5-2025-08-07_medium,Aider Polyglot,0.867,0.6265
118,gpt-oss-120b_high,Aider Polyglot,0.418,0.2005
119,grok-3-beta,Aider Polyglot,0.5329999999999999,0.5655
120,grok-3-mini-beta_high,Aider Polyglot,0.493,0.3305
121,grok-3-mini-beta_low,Aider Polyglot,0.347,0.0955
122,grok-4-0709,Aider Polyglot,0.7959999999999999,0.7
123,grok-4-0709_high,Aider Polyglot,0.7959999999999999,0.513
124,o1-2024-12-17_high,Aider Polyglot,0.617,0.3985
125,o1-mini-2024-09-12_unknown,Aider Polyglot,0.3289999999999999,0.6495
126,o3-2025-04-16_high,Aider Polyglot,0.813,0.5535
127,o3-2025-04-16_medium,Aider Polyglot,0.769,0.6165
128,o3-2025-04-16_unknown,Aider Polyglot,0.769,0.4415
129,o3-mini-2025-01-31_high,Aider Polyglot,0.604,0.5625
130,o3-mini-2025-01-31_medium,Aider Polyglot,0.5379999999999999,0.5375
131,o3-pro-2025-06-10_high,Aider Polyglot,0.8490000000000001,0.4185
132,o4-mini-2025-04-16_high,Aider Polyglot,0.72,0.734
133,qwen-max-2025-01-25,Aider Polyglot,0.218,0.312
134,qwen3-235b-a22b,Aider Polyglot,0.596,0.8585
135,Inkling_thinking,AudioMultiChallenge,0.5664,0.5925
136,gemini-2.5-flash,AudioMultiChallenge,0.4004,0.3735
137,gemini-2.5-pro,AudioMultiChallenge,0.469,0.507
138,gemini-3-pro-preview,AudioMultiChallenge,0.5465,0.397
139,inkling-small,AudioMultiChallenge,0.5487,0.564
140,DeepSeek-R1,Balrog,0.349,0.6255
141,DeepSeek-R1-Distill-Qwen-32B,Balrog,0.195,0.1555
142,Llama-3.1-70B-Instruct,Balrog,0.2789999999999999,0.904
143,Llama-3.1-8B-Instruct,Balrog,0.151,0.677
144,Llama-3.2-11B-Vision-Instruct,Balrog,0.168,0.885
145,Llama-3.2-1B-Instruct,Balrog,0.066,0.137
146,Llama-3.2-90B-Vision-Instruct,Balrog,0.273,0.8905
147,Llama-3.3-70B-Instruct,Balrog,0.23,0.635
148,claude-3-5-haiku-20241022,Balrog,0.193,0.4615
149,claude-3-5-sonnet-20241022,Balrog,0.326,0.815
150,claude-haiku-4-5-20251001,Balrog,0.312,0.612
151,claude-haiku-4-5-20251001_1K,Balrog,0.312,0.51
152,claude-opus-4-5-20251101,Balrog,0.435,0.397
153,claude-opus-4-5-20251101_64K,Balrog,0.43,0.5445
154,claude-opus-4-5-20251101_unknown,Balrog,0.43,0.1105
155,gemini-1.5-flash-002,Balrog,0.146,0.119
156,gemini-1.5-pro-002,Balrog,0.21,0.3205
157,gemini-2.5-flash,Balrog,0.335,0.6855
158,gemini-2.5-pro-exp-03-25,Balrog,0.433,0.7065
159,gemini-3-flash-preview,Balrog,0.481,0.6615
160,gemini-3-pro-preview,Balrog,0.5810000000000001,0.7455
161,gemini-3.1-pro-preview,Balrog,0.57,0.5945
162,gpt-4o-2024-05-13,Balrog,0.3229999999999999,0.904
163,gpt-4o-mini-2024-07-18,Balrog,0.174,0.3835
164,gpt-5-2025-08-07_minimal,Balrog,0.3279999999999999,0.4985
165,grok-3-beta,Balrog,0.295,0.4145
166,grok-4-0709,Balrog,0.436,0.679
167,phi-4,Balrog,0.1159999999999999,0.0205
168,qwen2.5-72b-instruct,Balrog,0.162,0.149
169,qwen2.5-7b-instruct,Balrog,0.078,0.073
170,DeepSeek-R1,BioLP-bench,0.198,0.14
171,DeepSeek-V3,BioLP-bench,0.061,0.0535
172,Llama-3.1-405B-Instruct,BioLP-bench,0.021,0.045
173,Llama-3.1-405B-Instruct,BioLP-bench,0.034,0.1205
174,Llama-3.1-405B-Instruct,BioLP-bench,0.042,0.1765
175,Llama-3.1-405B-Instruct,BioLP-bench,0.062,0.3815
176,Llama-3.1-70B-Instruct,BioLP-bench,0.026,0.169
177,Llama-3.1-8B-Instruct,BioLP-bench,0.019,0.694
178,Llama-4-Maverick-17B-128E-Instruct,BioLP-bench,0.125,0.2185
179,Llama-4-Scout-17B-16E-Instruct,BioLP-bench,0.099,0.5995
180,Mixtral-8x7B-Instruct-v0.1,BioLP-bench,0.0139999999999999,0.7225
181,amazon.nova-lite-v1:0,BioLP-bench,0.026,0.341
182,amazon.nova-micro-v1:0,BioLP-bench,0.0139999999999999,0.5295
183,amazon.nova-pro-v1:0,BioLP-bench,0.06,0.4675
184,claude-3-5-sonnet-20240620,BioLP-bench,0.061,0.1575
185,claude-3-5-sonnet-20241022,BioLP-bench,0.239,0.905
186,claude-3-7-sonnet-20250219,BioLP-bench,0.2339999999999999,0.7825
187,claude-3-7-sonnet-20250219_16K,BioLP-bench,0.374,0.72
188,claude-3-haiku-20240307,BioLP-bench,0.016,0.4775
189,claude-3-opus-20240229,BioLP-bench,0.025,0.085
190,claude-3-sonnet-20240229,BioLP-bench,0.026,0.446
191,gemini-1.0-pro-001,BioLP-bench,0.01,0.419
192,gemini-1.5-flash-001,BioLP-bench,0.048,0.4265
193,gemini-1.5-pro-001,BioLP-bench,0.068,0.323
194,gpt-4-turbo-2024-04-09,BioLP-bench,0.104,0.7835
195,gpt-4.5-preview-2025-02-27,BioLP-bench,0.306,0.937
196,gpt-4o-2024-05-13,BioLP-bench,0.171,0.8825
197,grok-2,BioLP-bench,0.119,0.907
198,mistral-large-2402,BioLP-bench,0.024,0.494
199,mistral-large-2407,BioLP-bench,0.095,0.632
200,o1-2024-12-17_medium,BioLP-bench,0.318,0.505
201,o1-preview-2024-09-12,BioLP-bench,0.324,0.96
202,o3-2025-04-16_medium,BioLP-bench,0.412,0.2725
203,o3-mini-2025-01-31_medium,BioLP-bench,0.258,0.4735
204,o4-mini-2025-04-16_medium,BioLP-bench,0.3989999999999999,0.733
205,DeepSeek-V3.2-Exp_thinking,CL-bench,0.132,0.1945
206,MiniMax-M2.5,CL-bench,0.114,0.1605
207,claude-opus-4-5-20251101_unknown,CL-bench,0.211,0.521
208,claude-opus-4-6_unknown,CL-bench,0.207,0.1755
209,deepseek-v3.2,CL-bench,0.124,0.2175
210,gemini-3-pro-preview_high,CL-bench,0.158,0.5425
211,gemini-3.1-pro-preview_high,CL-bench,0.208,0.3
212,glm-4.7,CL-bench,0.159,0.386
213,glm-5,CL-bench,0.187,0.4805
214,gpt-5.1-2025-11-13_high,CL-bench,0.237,0.885
215,gpt-5.1-2025-11-13_unknown,CL-bench,0.211,0.801
216,gpt-5.2-2025-12-11_high,CL-bench,0.181,0.2595
217,gpt-5.2-2025-12-11_unknown,CL-bench,0.182,0.4045
218,gpt-5.4-2026-03-05_xhigh,CL-bench,0.279,0.919
219,grok-4-20,CL-bench,0.222,0.7165
220,kimi-k2-thinking,CL-bench,0.176,0.661
221,kimi-k2.5,CL-bench,0.193,0.7175
222,mimo-v2-pro,CL-bench,0.157,0.551
223,o3-2025-04-16_high,CL-bench,0.178,0.5205
224,qwen3-max-2025-09-23,CL-bench,0.145,0.3385
225,qwen3.5-plus,CL-bench,0.198,0.696
226,qwen3.6-plus,CL-bench,0.203,0.582
227,DeepSeek-V3.2-Exp_thinking,CL-bench Life,0.095,0.3425
228,MiniMax-M2.5,CL-bench Life,0.063,0.107
229,claude-opus-4-6_high,CL-bench Life,0.17,0.4755
230,claude-opus-4-6_unknown,CL-bench Life,0.136,0.1955
231,deepseek-v3.2,CL-bench Life,0.074,0.182
232,deepseek-v4-pro_high,CL-bench Life,0.135,0.3905
233,gemini-3.1-pro-preview_high,CL-bench Life,0.169,0.601
234,glm-4.7_high,CL-bench Life,0.109,0.549
235,gpt-5.1-2025-11-13_high,CL-bench Life,0.173,0.8015
236,gpt-5.4-2026-03-05_high,CL-bench Life,0.193,0.8325
237,gpt-5.4-2026-03-05_unknown,CL-bench Life,0.138,0.1965
238,gpt-5.4-2026-03-05_xhigh,CL-bench Life,0.217,0.885
239,gpt-5.5_high,CL-bench Life,0.222,0.733
240,grok-4-20_high,CL-bench Life,0.119,0.58
241,kimi-k2.5_high,CL-bench Life,0.132,0.6135
242,mimo-v2-pro_high,CL-bench Life,0.069,0.42
243,qwen3.5-plus_high,CL-bench Life,0.124,0.6075
244,claude-mythos-preview-early,CTI-REALM,0.685,0.2015
245,claude-opus-4-5-20251101_unknown,CTI-REALM,0.6244,0.809
246,claude-opus-4-6_unknown,CTI-REALM,0.6373,0.6175
247,claude-sonnet-4-5-20250929_unknown,CTI-REALM,0.5872,0.8575
248,gpt-4.1-2025-04-14,CTI-REALM,0.4186,0.4485
249,gpt-5-2025-08-07_unknown,CTI-REALM,0.572,0.6935
250,gpt-5-mini-2025-08-07_unknown,CTI-REALM,0.4506,0.493
251,gpt-5.1-2025-11-13_unknown,CTI-REALM,0.5133,0.4155
252,gpt-5.2-2025-12-11_unknown,CTI-REALM,0.5716,0.7265
253,o3-2025-04-16_unknown,CTI-REALM,0.4707,0.278
254,o4-mini-2025-04-16,CTI-REALM,0.3602,0.091
255,claude-3-5-haiku-20241022,CadEval,0.32,0.8115
256,claude-3-5-sonnet-20241022,CadEval,0.48,0.8165
257,claude-3-7-sonnet-20250219,CadEval,0.54,0.864
258,claude-3-haiku-20240307,CadEval,0.12,0.452
259,gemini-1.5-pro-002,CadEval,0.34,0.546
260,gemini-2.0-flash-001,CadEval,0.3,0.1855
261,gemini-2.5-pro-exp-03-25,CadEval,0.64,0.4675
262,gpt-4.1-2025-04-14,CadEval,0.42,0.2975
263,gpt-4.1-mini-2025-04-14,CadEval,0.16,0.012
264,gpt-4o-2024-08-06,CadEval,0.26,0.3455
265,o1-2024-12-17_medium,CadEval,0.56,0.55
266,o3-2025-04-16_medium,CadEval,0.74,0.806
267,o3-mini-2025-01-31_medium,CadEval,0.54,0.642
268,o4-mini-2025-04-16_medium,CadEval,0.62,0.682
269,Llama-3.1-405B-Instruct,Cybench,0.075,0.4265
270,Meta-Llama-3-70B-Instruct,Cybench,0.05,0.685
271,Mixtral-8x22B-Instruct-v0.1,Cybench,0.075,0.8395
272,claude-3-5-sonnet-20240620,Cybench,0.175,0.853
273,claude-3-7-sonnet-20250219,Cybench,0.2,0.545
274,claude-3-7-sonnet-20250219_unknown,Cybench,0.2,0.4915
275,claude-3-opus-20240229,Cybench,0.1,0.6935
277,claude-opus-4-1-20250805,Cybench,0.42,0.576
278,claude-opus-4-1-20250805_unknown,Cybench,0.42,0.4675
279,claude-opus-4-20250514,Cybench,0.38,0.559
280,claude-opus-4-20250514_unknown,Cybench,0.38,0.2615
