model_version,benchmark,n,score_min,score_max,sources,spread
Llama-2-70b-hf,GSM8K,5,0.133,0.696,gsm8k_external.csv,0.563
gemini-3-deep-think-preview,ARC-AGI-2,2,0.4514,0.8458,arc_agi_2_external.csv,0.3944
Meta-Llama-3-8B-Instruct,OpenBookQA,2,0.45,0.826,open_book_qa_external.csv,0.37599999999999995
Llama-2-13b-chat,GSM8K,2,0.027,0.369,gsm8k_external.csv,0.34199999999999997
PaLM 540B,ARC (AI2),3,0.53,0.852,arc_ai2_external.csv,0.32199999999999995
Baichuan-2-13B-Base,GSM8K,2,0.221,0.528,gsm8k_external.csv,0.30700000000000005
LLaMA-7B,OpenBookQA,3,0.284,0.572,open_book_qa_external.csv,0.288
Mixtral-8x7B-v0.1,ARC (AI2),2,0.597,0.873,arc_ai2_external.csv,0.276
text-davinci-003,GSM8K,3,0.506,0.782,gsm8k_external.csv,0.276
Llama-2-7b,OpenBookQA,2,0.314,0.586,open_book_qa_external.csv,0.27199999999999996
Llama-2-13b-chat,BIG-Bench Hard (BBH),2,0.329,0.582,bbh_external.csv,0.25299999999999995
gemma-7b,ARC (AI2),2,0.532,0.783,arc_ai2_external.csv,0.251
falcon-7b,HellaSwag,5,0.542,0.781,hella_swag_external.csv,0.239
Mistral-7B-v0.1,ARC (AI2),3,0.549,0.786,arc_ai2_external.csv,0.237
gemma-7b,WinoGrande,3,0.556,0.79,wino_grande_external.csv,0.23399999999999999
Baichuan2-13B-Chat,GSM8K,2,0.233,0.457,gsm8k_external.csv,0.224
Llama-2-70b-hf,ARC (AI2),3,0.565,0.783,arc_ai2_external.csv,0.21800000000000008
claude-opus-4-6_unknown,TerminalBench,11,0.58,0.798,terminalbench_external.csv,0.21800000000000008
claude-haiku-4-5-20251001_unknown,TerminalBench,5,0.139,0.355,terminalbench_external.csv,0.21599999999999997
LLaMA-13B,TriviaQA,8,0.566,0.779,trivia_qa_external.csv,0.21300000000000008
Mistral-7B-v0.1,WinoGrande,3,0.542,0.753,wino_grande_external.csv,0.21099999999999997
LLaMA-7B,TriviaQA,8,0.5,0.71,trivia_qa_external.csv,0.20999999999999996
gpt-5.1-codex,TerminalBench,3,0.369,0.578,terminalbench_external.csv,0.20899999999999996
Yi-34B-Chat,BIG-Bench Hard (BBH),2,0.514,0.717,bbh_external.csv,0.20299999999999996
Llama-2-7b,HellaSwag,2,0.571,0.772,hella_swag_external.csv,0.20100000000000007
claude-sonnet-4-5-20250929,OS World (Screenshot),3,0.429,0.629,os_world_external.csv,0.2
mpt-7b,OpenBookQA,3,0.314,0.514,open_book_qa_external.csv,0.2
LLaMA-7B,HellaSwag,3,0.562,0.762,hella_swag_external.csv,0.19999999999999996
falcon-7b,OpenBookQA,3,0.32,0.516,open_book_qa_external.csv,0.196
internlm-20b,GSM8K,3,0.434,0.629,gsm8k_external.csv,0.195
mpt-7b,HellaSwag,3,0.571,0.764,hella_swag_external.csv,0.19300000000000006
Mistral-7B-v0.1,GSM8K,5,0.354,0.544,gsm8k_external.csv,0.19000000000000006
gemini-3.1-pro-preview,TerminalBench,4,0.614,0.802,terminalbench_external.csv,0.18800000000000006
LLaMA-33B,TriviaQA,8,0.651,0.838,trivia_qa_external.csv,0.18699999999999994
gpt-5.5_unknown,TerminalBench,4,0.6609999999999999,0.8470000000000001,terminalbench_external.csv,0.18600000000000017
gpt-5.1-codex-mini,TerminalBench,2,0.431,0.616,terminalbench_external.csv,0.185
gemini-1.5-pro-001,LAB-Bench Cloning,2,0.303,0.485,rand_benchmark_scores.csv,0.182
Qwen2.5-Coder-32B,MMLU,2,0.612,0.791,mmlu_external.csv,0.17900000000000005
LLaMA-65B,TriviaQA,8,0.682,0.86,trivia_qa_external.csv,0.17799999999999994
text-davinci-001,BoolQ,4,0.605,0.775,bool_q_external.csv,0.17000000000000004
Mistral-7B-v0.1,BIG-Bench Hard (BBH),2,0.395,0.561,bbh_external.csv,0.16600000000000004
gemini-2.5-pro,TerminalBench,5,0.1639999999999999,0.326,terminalbench_external.csv,0.16200000000000012
Llama-2-70b-chat,BIG-Bench Hard (BBH),2,0.424,0.585,bbh_external.csv,0.16099999999999998
claude-haiku-4-5-20251001,TerminalBench,4,0.139,0.298,terminalbench_external.csv,0.15899999999999997
gpt-5-2025-08-07_unknown,TerminalBench,4,0.3389999999999999,0.496,terminalbench_external.csv,0.15700000000000008
gpt-5-2025-08-07_medium,TerminalBench,4,0.339,0.496,terminalbench_external.csv,0.15699999999999997
Qwen3-Next-80B-A3B-Instruct,Fiction.LiveBench,2,0.469,0.625,fictionlivebench_external.csv,0.15600000000000003
gemini-2.5-pro-preview-06-05_1K,ARC-AGI,2,0.16,0.313,arc_agi_external.csv,0.153
gemini-3-pro-preview,TerminalBench,7,0.542,0.6940000000000001,terminalbench_external.csv,0.15200000000000002
Mixtral-8x7B-v0.1,WinoGrande,2,0.62,0.772,wino_grande_external.csv,0.15200000000000002
T5-11B,BoolQ,2,0.761,0.912,bool_q_external.csv,0.15100000000000002
LLaMA-65B,BIG-Bench Hard (BBH),2,0.435,0.584,bbh_external.csv,0.14899999999999997
gpt-5-nano-2025-08-07_unknown,TerminalBench,5,0.07,0.218,terminalbench_external.csv,0.148
gpt-5.5_unknown,ExploitBench,4,0.326,0.474,exploitbench_external.csv,0.14799999999999996
PaLM 540B,OpenBookQA,3,0.534,0.68,open_book_qa_external.csv,0.14600000000000002
Megatron-Turing NLG 530B,LAMBADA,4,0.7306,0.8715,lambada_external.csv,0.14090000000000003
gemini-2.5-flash,AudioMultiChallenge,2,0.2611,0.4004,seal/audiomc.html,0.13929999999999998
text-davinci-001,LAMBADA,3,0.725,0.864,lambada_external.csv,0.139
o3-2025-04-16_medium,OS World (Screenshot),3,0.091,0.23,os_world_external.csv,0.139
gpt-5.3-codex,TerminalBench,10,0.647,0.784,terminalbench_external.csv,0.137
Llama-2-70b-hf,BIG-Bench Hard (BBH),2,0.512,0.649,bbh_external.csv,0.137
Gopher (280B),TriviaQA,4,0.435,0.572,trivia_qa_external.csv,0.13699999999999996
LLaMA-65B,ARC (AI2),2,0.56,0.695,arc_ai2_external.csv,0.1349999999999999
gemini-3-flash-preview,TerminalBench,3,0.51,0.643,terminalbench_external.csv,0.133
LLaMA-33B,ARC (AI2),3,0.544,0.675,arc_ai2_external.csv,0.131
Qwen-14B,MMLU,2,0.534,0.663,mmlu_external.csv,0.129
